School,Subdivision,Tier,Weight
Alabama,FBS,S+,5.00
Georgia,FBS,S+,5.00
Ohio State,FBS,S+,5.00
Clemson,FBS,S,4.25
Florida,FBS,S,4.25
LSU,FBS,S,4.25
Miami,FBS,S,4.25
Michigan,FBS,S,4.25
Notre Dame,FBS,S,4.25
Oklahoma,FBS,S,4.25
Oregon,FBS,S,4.25
Penn State,FBS,S,4.25
Texas,FBS,S,4.25
Texas A&M,FBS,S,4.25
USC,FBS,S,4.25
Washington,FBS,S,4.25
Arizona,FBS,A,3.25
Arizona State,FBS,A,3.25
Auburn,FBS,A,3.25
Florida State,FBS,A,3.25
Iowa,FBS,A,3.25
Kentucky,FBS,A,3.25
Missouri,FBS,A,3.25
North Carolina,FBS,A,3.25
Ole Miss,FBS,A,3.25
South Carolina,FBS,A,3.25
Stanford,FBS,A,3.25
Tennessee,FBS,A,3.25
Texas Tech,FBS,A,3.25
Utah,FBS,A,3.25
Wisconsin,FBS,A,3.25
Arkansas,FBS,B,2.25
Baylor,FBS,B,2.25
Boston College,FBS,B,2.25
BYU,FBS,B,2.25
California,FBS,B,2.25
Cincinnati,FBS,B,2.25
Colorado,FBS,B,2.25
Duke,FBS,B,2.25
Georgia Tech,FBS,B,2.25
Illinois,FBS,B,2.25
Indiana,FBS,B,2.25
Iowa State,FBS,B,2.25
Kansas State,FBS,B,2.25
Louisville,FBS,B,2.25
Maryland,FBS,B,2.25
Michigan State,FBS,B,2.25
Minnesota,FBS,B,2.25
Mississippi State,FBS,B,2.25
NC State,FBS,B,2.25
Nebraska,FBS,B,2.25
Northwestern,FBS,B,2.25
Oklahoma State,FBS,B,2.25
Pittsburgh,FBS,B,2.25
Purdue,FBS,B,2.25
Rutgers,FBS,B,2.25
SMU,FBS,B,2.25
Syracuse,FBS,B,2.25
TCU,FBS,B,2.25
UCF,FBS,B,2.25
UCLA,FBS,B,2.25
Vanderbilt,FBS,B,2.25
Virginia,FBS,B,2.25
Virginia Tech,FBS,B,2.25
Wake Forest,FBS,B,2.25
West Virginia,FBS,B,2.25
Air Force,FBS,C,1.25
Appalachian State,FBS,C,1.25
Army,FBS,C,1.25
Boise State,FBS,C,1.25
Colorado State,FBS,C,1.25
East Carolina,FBS,C,1.25
Fresno State,FBS,C,1.25
Houston,FBS,C,1.25
James Madison,FBS,C,1.25
Kansas,FBS,C,1.25
Liberty,FBS,C,1.25
Memphis,FBS,C,1.25
Navy,FBS,C,1.25
Oregon State,FBS,C,1.25
Rice,FBS,C,1.25
San Diego State,FBS,C,1.25
South Florida,FBS,C,1.25
Texas State,FBS,C,1.25
Toledo,FBS,C,1.25
Tulane,FBS,C,1.25
UConn,FBS,C,1.25
UNLV,FBS,C,1.25
UTSA,FBS,C,1.25
Washington State,FBS,C,1.25
