position_group,event_name,weight,include_in_athletic_composite,notes
QB,forty,0.24,1,Synthetic position event weighting.
QB,ten_split,0.12,1,Synthetic position event weighting.
QB,vertical,0.14,1,Synthetic position event weighting.
QB,broad,0.12,1,Synthetic position event weighting.
QB,three_cone,0.12,1,Synthetic position event weighting.
QB,shuttle,0.1,1,Synthetic position event weighting.
QB,bench,0.1,1,Synthetic position event weighting.
QB,measurements,0.06,1,Synthetic position event weighting.
RB,forty,0.24,1,Synthetic position event weighting.
RB,ten_split,0.12,1,Synthetic position event weighting.
RB,vertical,0.14,1,Synthetic position event weighting.
RB,broad,0.12,1,Synthetic position event weighting.
RB,three_cone,0.12,1,Synthetic position event weighting.
RB,shuttle,0.1,1,Synthetic position event weighting.
RB,bench,0.1,1,Synthetic position event weighting.
RB,measurements,0.06,1,Synthetic position event weighting.
WR,forty,0.24,1,Synthetic position event weighting.
WR,ten_split,0.12,1,Synthetic position event weighting.
WR,vertical,0.14,1,Synthetic position event weighting.
WR,broad,0.12,1,Synthetic position event weighting.
WR,three_cone,0.12,1,Synthetic position event weighting.
WR,shuttle,0.1,1,Synthetic position event weighting.
WR,bench,0.1,1,Synthetic position event weighting.
WR,measurements,0.06,1,Synthetic position event weighting.
TE,forty,0.24,1,Synthetic position event weighting.
TE,ten_split,0.12,1,Synthetic position event weighting.
TE,vertical,0.14,1,Synthetic position event weighting.
TE,broad,0.12,1,Synthetic position event weighting.
TE,three_cone,0.12,1,Synthetic position event weighting.
TE,shuttle,0.1,1,Synthetic position event weighting.
TE,bench,0.1,1,Synthetic position event weighting.
TE,measurements,0.06,1,Synthetic position event weighting.
OT,forty,0.24,1,Synthetic position event weighting.
OT,ten_split,0.12,1,Synthetic position event weighting.
OT,vertical,0.14,1,Synthetic position event weighting.
OT,broad,0.12,1,Synthetic position event weighting.
OT,three_cone,0.12,1,Synthetic position event weighting.
OT,shuttle,0.1,1,Synthetic position event weighting.
OT,bench,0.1,1,Synthetic position event weighting.
OT,measurements,0.06,1,Synthetic position event weighting.
IOL,forty,0.24,1,Synthetic position event weighting.
IOL,ten_split,0.12,1,Synthetic position event weighting.
IOL,vertical,0.14,1,Synthetic position event weighting.
IOL,broad,0.12,1,Synthetic position event weighting.
IOL,three_cone,0.12,1,Synthetic position event weighting.
IOL,shuttle,0.1,1,Synthetic position event weighting.
IOL,bench,0.1,1,Synthetic position event weighting.
IOL,measurements,0.06,1,Synthetic position event weighting.
EDGE,forty,0.24,1,Synthetic position event weighting.
EDGE,ten_split,0.12,1,Synthetic position event weighting.
EDGE,vertical,0.14,1,Synthetic position event weighting.
EDGE,broad,0.12,1,Synthetic position event weighting.
EDGE,three_cone,0.12,1,Synthetic position event weighting.
EDGE,shuttle,0.1,1,Synthetic position event weighting.
EDGE,bench,0.1,1,Synthetic position event weighting.
EDGE,measurements,0.06,1,Synthetic position event weighting.
IDL,forty,0.24,1,Synthetic position event weighting.
IDL,ten_split,0.12,1,Synthetic position event weighting.
IDL,vertical,0.14,1,Synthetic position event weighting.
IDL,broad,0.12,1,Synthetic position event weighting.
IDL,three_cone,0.12,1,Synthetic position event weighting.
IDL,shuttle,0.1,1,Synthetic position event weighting.
IDL,bench,0.1,1,Synthetic position event weighting.
IDL,measurements,0.06,1,Synthetic position event weighting.
LB,forty,0.24,1,Synthetic position event weighting.
LB,ten_split,0.12,1,Synthetic position event weighting.
LB,vertical,0.14,1,Synthetic position event weighting.
LB,broad,0.12,1,Synthetic position event weighting.
LB,three_cone,0.12,1,Synthetic position event weighting.
LB,shuttle,0.1,1,Synthetic position event weighting.
LB,bench,0.1,1,Synthetic position event weighting.
LB,measurements,0.06,1,Synthetic position event weighting.
CB,forty,0.24,1,Synthetic position event weighting.
CB,ten_split,0.12,1,Synthetic position event weighting.
CB,vertical,0.14,1,Synthetic position event weighting.
CB,broad,0.12,1,Synthetic position event weighting.
CB,three_cone,0.12,1,Synthetic position event weighting.
CB,shuttle,0.1,1,Synthetic position event weighting.
CB,bench,0.1,1,Synthetic position event weighting.
CB,measurements,0.06,1,Synthetic position event weighting.
S,forty,0.24,1,Synthetic position event weighting.
S,ten_split,0.12,1,Synthetic position event weighting.
S,vertical,0.14,1,Synthetic position event weighting.
S,broad,0.12,1,Synthetic position event weighting.
S,three_cone,0.12,1,Synthetic position event weighting.
S,shuttle,0.1,1,Synthetic position event weighting.
S,bench,0.1,1,Synthetic position event weighting.
S,measurements,0.06,1,Synthetic position event weighting.
K,forty,0.24,1,Synthetic position event weighting.
K,ten_split,0.05,1,Synthetic position event weighting.
K,vertical,0.05,1,Synthetic position event weighting.
K,broad,0.05,1,Synthetic position event weighting.
K,three_cone,0.05,1,Synthetic position event weighting.
K,shuttle,0.05,1,Synthetic position event weighting.
K,bench,0.05,1,Synthetic position event weighting.
K,measurements,0.06,1,Synthetic position event weighting.
P,forty,0.24,1,Synthetic position event weighting.
P,ten_split,0.05,1,Synthetic position event weighting.
P,vertical,0.05,1,Synthetic position event weighting.
P,broad,0.05,1,Synthetic position event weighting.
P,three_cone,0.05,1,Synthetic position event weighting.
P,shuttle,0.05,1,Synthetic position event weighting.
P,bench,0.05,1,Synthetic position event weighting.
P,measurements,0.06,1,Synthetic position event weighting.
