star_bucket,position_group,draft_prob,early_round_prob,starter_hit_prob,impact_hit_prob,source_basis
5,QB,0.77,0.269,0.323,0.123,synthetic_gameplay_prior
5,RB,0.595,0.208,0.25,0.095,synthetic_gameplay_prior
5,WR,0.7,0.245,0.294,0.112,synthetic_gameplay_prior
5,OT,0.735,0.257,0.309,0.118,synthetic_gameplay_prior
5,EDGE,0.77,0.269,0.323,0.123,synthetic_gameplay_prior
5,CB,0.7,0.245,0.294,0.112,synthetic_gameplay_prior
5,DEFAULT,0.7,0.245,0.294,0.112,synthetic_gameplay_prior
4,QB,0.396,0.139,0.166,0.063,synthetic_gameplay_prior
4,RB,0.306,0.107,0.129,0.049,synthetic_gameplay_prior
4,WR,0.36,0.126,0.151,0.058,synthetic_gameplay_prior
4,OT,0.378,0.132,0.159,0.06,synthetic_gameplay_prior
4,EDGE,0.396,0.139,0.166,0.063,synthetic_gameplay_prior
4,CB,0.36,0.126,0.151,0.058,synthetic_gameplay_prior
4,DEFAULT,0.36,0.126,0.151,0.058,synthetic_gameplay_prior
3,QB,0.121,0.042,0.051,0.019,synthetic_gameplay_prior
3,RB,0.093,0.033,0.039,0.015,synthetic_gameplay_prior
3,WR,0.11,0.038,0.046,0.018,synthetic_gameplay_prior
3,OT,0.116,0.041,0.049,0.019,synthetic_gameplay_prior
3,EDGE,0.121,0.042,0.051,0.019,synthetic_gameplay_prior
3,CB,0.11,0.038,0.046,0.018,synthetic_gameplay_prior
3,DEFAULT,0.11,0.038,0.046,0.018,synthetic_gameplay_prior
2,QB,0.033,0.012,0.014,0.005,synthetic_gameplay_prior
2,RB,0.025,0.009,0.011,0.004,synthetic_gameplay_prior
2,WR,0.03,0.01,0.013,0.005,synthetic_gameplay_prior
2,OT,0.032,0.011,0.013,0.005,synthetic_gameplay_prior
2,EDGE,0.033,0.012,0.014,0.005,synthetic_gameplay_prior
2,CB,0.03,0.01,0.013,0.005,synthetic_gameplay_prior
2,DEFAULT,0.03,0.01,0.013,0.005,synthetic_gameplay_prior
1,QB,0.011,0.004,0.005,0.002,synthetic_gameplay_prior
1,RB,0.009,0.003,0.004,0.001,synthetic_gameplay_prior
1,WR,0.01,0.003,0.004,0.002,synthetic_gameplay_prior
1,OT,0.011,0.004,0.005,0.002,synthetic_gameplay_prior
1,EDGE,0.011,0.004,0.005,0.002,synthetic_gameplay_prior
1,CB,0.01,0.003,0.004,0.002,synthetic_gameplay_prior
1,DEFAULT,0.01,0.003,0.004,0.002,synthetic_gameplay_prior
