position_group,component,weight
QB,film,0.3
QB,production,0.18
QB,traits,0.18
QB,age,0.08
QB,medical,0.1
QB,competition,0.08
QB,character,0.08
RB,film,0.3
RB,production,0.18
RB,traits,0.18
RB,age,0.08
RB,medical,0.1
RB,competition,0.08
RB,character,0.08
WR,film,0.3
WR,production,0.18
WR,traits,0.18
WR,age,0.08
WR,medical,0.1
WR,competition,0.08
WR,character,0.08
TE,film,0.3
TE,production,0.18
TE,traits,0.18
TE,age,0.08
TE,medical,0.1
TE,competition,0.08
TE,character,0.08
OT,film,0.3
OT,production,0.18
OT,traits,0.18
OT,age,0.08
OT,medical,0.1
OT,competition,0.08
OT,character,0.08
IOL,film,0.3
IOL,production,0.18
IOL,traits,0.18
IOL,age,0.08
IOL,medical,0.1
IOL,competition,0.08
IOL,character,0.08
EDGE,film,0.3
EDGE,production,0.18
EDGE,traits,0.18
EDGE,age,0.08
EDGE,medical,0.1
EDGE,competition,0.08
EDGE,character,0.08
IDL,film,0.3
IDL,production,0.18
IDL,traits,0.18
IDL,age,0.08
IDL,medical,0.1
IDL,competition,0.08
IDL,character,0.08
LB,film,0.3
LB,production,0.18
LB,traits,0.18
LB,age,0.08
LB,medical,0.1
LB,competition,0.08
LB,character,0.08
CB,film,0.3
CB,production,0.18
CB,traits,0.18
CB,age,0.08
CB,medical,0.1
CB,competition,0.08
CB,character,0.08
S,film,0.3
S,production,0.18
S,traits,0.18
S,age,0.08
S,medical,0.1
S,competition,0.08
S,character,0.08
K,film,0.3
K,production,0.18
K,traits,0.18
K,age,0.08
K,medical,0.1
K,competition,0.08
K,character,0.08
P,film,0.3
P,production,0.18
P,traits,0.18
P,age,0.08
P,medical,0.1
P,competition,0.08
P,character,0.08
