event_type,position_group,base_daily_risk,contact_level,load_sensitivity,repeat_injury_mult
training,QB,0.0008,low,0.18,1.15
training,RB,0.0008,low,0.18,1.15
training,WR,0.0008,low,0.18,1.15
training,TE,0.0008,low,0.18,1.15
training,OT,0.0008,low,0.18,1.15
training,IOL,0.0008,low,0.18,1.15
training,EDGE,0.0008,low,0.18,1.15
training,IDL,0.0008,low,0.18,1.15
training,LB,0.0008,low,0.18,1.15
training,CB,0.0008,low,0.18,1.15
training,S,0.0008,low,0.18,1.15
training,K,0.0008,low,0.18,1.15
training,P,0.0008,low,0.18,1.15
game,QB,0.005,high,0.42,1.15
game,RB,0.005,high,0.42,1.15
game,WR,0.005,high,0.42,1.15
game,TE,0.005,high,0.42,1.15
game,OT,0.005,high,0.42,1.15
game,IOL,0.005,high,0.42,1.15
game,EDGE,0.005,high,0.42,1.15
game,IDL,0.005,high,0.42,1.15
game,LB,0.005,high,0.42,1.15
game,CB,0.005,high,0.42,1.15
game,S,0.005,high,0.42,1.15
game,K,0.005,high,0.42,1.15
game,P,0.005,high,0.42,1.15
