injury_family,severity,probability,min_days,max_days,season_ending_prob
ACL,minor,0.05,1,14,0.0
ACL,moderate,0.15,15,45,0.05
ACL,major,0.5,46,160,0.45
ACL,severe,0.3,160,365,0.9
Achilles,minor,0.05,1,14,0.0
Achilles,moderate,0.15,15,45,0.05
Achilles,major,0.5,46,160,0.45
Achilles,severe,0.3,160,365,0.9
hamstring,minor,0.5,1,14,0.0
hamstring,moderate,0.32,15,45,0.05
hamstring,major,0.15,46,160,0.45
hamstring,severe,0.03,160,365,0.9
concussion,minor,0.5,1,14,0.0
concussion,moderate,0.32,15,45,0.05
concussion,major,0.15,46,160,0.45
concussion,severe,0.03,160,365,0.9
shoulder,minor,0.5,1,14,0.0
shoulder,moderate,0.32,15,45,0.05
shoulder,major,0.15,46,160,0.45
shoulder,severe,0.03,160,365,0.9
ankle,minor,0.5,1,14,0.0
ankle,moderate,0.32,15,45,0.05
ankle,major,0.15,46,160,0.45
ankle,severe,0.03,160,365,0.9
generic_minor,minor,0.5,1,14,0.0
generic_minor,moderate,0.32,15,45,0.05
generic_minor,major,0.15,46,160,0.45
generic_minor,severe,0.03,160,365,0.9
generic_major,minor,0.5,1,14,0.0
generic_major,moderate,0.32,15,45,0.05
generic_major,major,0.15,46,160,0.45
generic_major,severe,0.03,160,365,0.9
