team_id,archetype,weight_traits,weight_production,weight_age,weight_medical,weight_competition,weight_allstar,small_school_confidence,source_basis
ARI,balanced,0.28,0.3,0.08,0.12,0.1,0.06,0.5,synthetic_gameplay_tuning
ATL,traits_first,0.32,0.3,0.08,0.12,0.1,0.06,0.5,synthetic_gameplay_tuning
BAL,production_first,0.28,0.35,0.08,0.12,0.1,0.06,0.5,synthetic_gameplay_tuning
BUF,risk_averse,0.28,0.3,0.08,0.16999999999999998,0.1,0.06,0.5,synthetic_gameplay_tuning
CAR,balanced,0.28,0.3,0.08,0.12,0.1,0.06,0.5,synthetic_gameplay_tuning
CHI,traits_first,0.32,0.3,0.08,0.12,0.1,0.06,0.5,synthetic_gameplay_tuning
CIN,production_first,0.28,0.35,0.08,0.12,0.1,0.06,0.5,synthetic_gameplay_tuning
CLE,risk_averse,0.28,0.3,0.08,0.16999999999999998,0.1,0.06,0.5,synthetic_gameplay_tuning
DAL,balanced,0.28,0.3,0.08,0.12,0.1,0.06,0.5,synthetic_gameplay_tuning
DEN,traits_first,0.32,0.3,0.08,0.12,0.1,0.06,0.5,synthetic_gameplay_tuning
DET,production_first,0.28,0.35,0.08,0.12,0.1,0.06,0.5,synthetic_gameplay_tuning
GB,risk_averse,0.28,0.3,0.08,0.16999999999999998,0.1,0.06,0.5,synthetic_gameplay_tuning
HOU,balanced,0.28,0.3,0.08,0.12,0.1,0.06,0.5,synthetic_gameplay_tuning
IND,traits_first,0.32,0.3,0.08,0.12,0.1,0.06,0.5,synthetic_gameplay_tuning
JAX,production_first,0.28,0.35,0.08,0.12,0.1,0.06,0.5,synthetic_gameplay_tuning
KC,risk_averse,0.28,0.3,0.08,0.16999999999999998,0.1,0.06,0.5,synthetic_gameplay_tuning
LV,balanced,0.28,0.3,0.08,0.12,0.1,0.06,0.5,synthetic_gameplay_tuning
LAC,traits_first,0.32,0.3,0.08,0.12,0.1,0.06,0.5,synthetic_gameplay_tuning
LAR,production_first,0.28,0.35,0.08,0.12,0.1,0.06,0.5,synthetic_gameplay_tuning
MIA,risk_averse,0.28,0.3,0.08,0.16999999999999998,0.1,0.06,0.5,synthetic_gameplay_tuning
MIN,balanced,0.28,0.3,0.08,0.12,0.1,0.06,0.5,synthetic_gameplay_tuning
NE,traits_first,0.32,0.3,0.08,0.12,0.1,0.06,0.5,synthetic_gameplay_tuning
NO,production_first,0.28,0.35,0.08,0.12,0.1,0.06,0.5,synthetic_gameplay_tuning
NYG,risk_averse,0.28,0.3,0.08,0.16999999999999998,0.1,0.06,0.5,synthetic_gameplay_tuning
NYJ,balanced,0.28,0.3,0.08,0.12,0.1,0.06,0.5,synthetic_gameplay_tuning
PHI,traits_first,0.32,0.3,0.08,0.12,0.1,0.06,0.5,synthetic_gameplay_tuning
PIT,production_first,0.28,0.35,0.08,0.12,0.1,0.06,0.5,synthetic_gameplay_tuning
SEA,risk_averse,0.28,0.3,0.08,0.16999999999999998,0.1,0.06,0.5,synthetic_gameplay_tuning
SF,balanced,0.28,0.3,0.08,0.12,0.1,0.06,0.5,synthetic_gameplay_tuning
TB,traits_first,0.32,0.3,0.08,0.12,0.1,0.06,0.5,synthetic_gameplay_tuning
TEN,production_first,0.28,0.35,0.08,0.12,0.1,0.06,0.5,synthetic_gameplay_tuning
WAS,risk_averse,0.28,0.3,0.08,0.16999999999999998,0.1,0.06,0.5,synthetic_gameplay_tuning
