pick,round,pick_value,internal_value_default,source_basis
1,1,3000.0,3000.0,synthetic_gameplay_tuning
2,1,1699.33,1699.33,synthetic_gameplay_tuning
3,1,1218.66,1218.66,synthetic_gameplay_tuning
4,1,962.57,962.57,synthetic_gameplay_tuning
5,1,801.62,801.62,synthetic_gameplay_tuning
6,1,690.3,690.3,synthetic_gameplay_tuning
7,1,608.33,608.33,synthetic_gameplay_tuning
8,1,545.24,545.24,synthetic_gameplay_tuning
9,1,495.04,495.04,synthetic_gameplay_tuning
10,1,454.07,454.07,synthetic_gameplay_tuning
11,1,419.93,419.93,synthetic_gameplay_tuning
12,1,391.01,391.01,synthetic_gameplay_tuning
13,1,366.17,366.17,synthetic_gameplay_tuning
14,1,344.58,344.58,synthetic_gameplay_tuning
15,1,325.63,325.63,synthetic_gameplay_tuning
16,1,308.85,308.85,synthetic_gameplay_tuning
17,1,293.87,293.87,synthetic_gameplay_tuning
18,1,280.41,280.41,synthetic_gameplay_tuning
19,1,268.25,268.25,synthetic_gameplay_tuning
20,1,257.2,257.2,synthetic_gameplay_tuning
21,1,247.12,247.12,synthetic_gameplay_tuning
22,1,237.87,237.87,synthetic_gameplay_tuning
23,1,229.35,229.35,synthetic_gameplay_tuning
24,1,221.49,221.49,synthetic_gameplay_tuning
25,1,214.2,214.2,synthetic_gameplay_tuning
26,1,207.42,207.42,synthetic_gameplay_tuning
27,1,201.1,201.1,synthetic_gameplay_tuning
28,1,195.19,195.19,synthetic_gameplay_tuning
29,1,189.65,189.65,synthetic_gameplay_tuning
30,1,184.45,184.45,synthetic_gameplay_tuning
31,1,179.56,179.56,synthetic_gameplay_tuning
32,1,174.94,174.94,synthetic_gameplay_tuning
33,2,170.58,170.58,synthetic_gameplay_tuning
34,2,166.46,166.46,synthetic_gameplay_tuning
35,2,162.55,162.55,synthetic_gameplay_tuning
36,2,158.84,158.84,synthetic_gameplay_tuning
37,2,155.31,155.31,synthetic_gameplay_tuning
38,2,151.95,151.95,synthetic_gameplay_tuning
39,2,148.75,148.75,synthetic_gameplay_tuning
40,2,145.69,145.69,synthetic_gameplay_tuning
41,2,142.77,142.77,synthetic_gameplay_tuning
42,2,139.98,139.98,synthetic_gameplay_tuning
43,2,137.3,137.3,synthetic_gameplay_tuning
44,2,134.74,134.74,synthetic_gameplay_tuning
45,2,132.28,132.28,synthetic_gameplay_tuning
46,2,129.92,129.92,synthetic_gameplay_tuning
47,2,127.64,127.64,synthetic_gameplay_tuning
48,2,125.46,125.46,synthetic_gameplay_tuning
49,2,123.36,123.36,synthetic_gameplay_tuning
50,2,121.33,121.33,synthetic_gameplay_tuning
51,2,119.38,119.38,synthetic_gameplay_tuning
52,2,117.49,117.49,synthetic_gameplay_tuning
53,2,115.67,115.67,synthetic_gameplay_tuning
54,2,113.91,113.91,synthetic_gameplay_tuning
55,2,112.21,112.21,synthetic_gameplay_tuning
56,2,110.56,110.56,synthetic_gameplay_tuning
57,2,108.97,108.97,synthetic_gameplay_tuning
58,2,107.43,107.43,synthetic_gameplay_tuning
59,2,105.93,105.93,synthetic_gameplay_tuning
60,2,104.48,104.48,synthetic_gameplay_tuning
61,2,103.07,103.07,synthetic_gameplay_tuning
62,2,101.71,101.71,synthetic_gameplay_tuning
63,2,100.38,100.38,synthetic_gameplay_tuning
64,2,99.1,99.1,synthetic_gameplay_tuning
65,3,97.84,97.84,synthetic_gameplay_tuning
66,3,96.63,96.63,synthetic_gameplay_tuning
67,3,95.44,95.44,synthetic_gameplay_tuning
68,3,94.29,94.29,synthetic_gameplay_tuning
69,3,93.17,93.17,synthetic_gameplay_tuning
70,3,92.07,92.07,synthetic_gameplay_tuning
71,3,91.01,91.01,synthetic_gameplay_tuning
72,3,89.97,89.97,synthetic_gameplay_tuning
73,3,88.96,88.96,synthetic_gameplay_tuning
74,3,87.97,87.97,synthetic_gameplay_tuning
75,3,87.01,87.01,synthetic_gameplay_tuning
76,3,86.07,86.07,synthetic_gameplay_tuning
77,3,85.15,85.15,synthetic_gameplay_tuning
78,3,84.26,84.26,synthetic_gameplay_tuning
79,3,83.38,83.38,synthetic_gameplay_tuning
80,3,82.53,82.53,synthetic_gameplay_tuning
81,3,81.69,81.69,synthetic_gameplay_tuning
82,3,80.87,80.87,synthetic_gameplay_tuning
83,3,80.07,80.07,synthetic_gameplay_tuning
84,3,79.29,79.29,synthetic_gameplay_tuning
85,3,78.52,78.52,synthetic_gameplay_tuning
86,3,77.77,77.77,synthetic_gameplay_tuning
87,3,77.04,77.04,synthetic_gameplay_tuning
88,3,76.32,76.32,synthetic_gameplay_tuning
89,3,75.62,75.62,synthetic_gameplay_tuning
90,3,74.93,74.93,synthetic_gameplay_tuning
91,3,74.25,74.25,synthetic_gameplay_tuning
92,3,73.59,73.59,synthetic_gameplay_tuning
93,3,72.94,72.94,synthetic_gameplay_tuning
94,3,72.3,72.3,synthetic_gameplay_tuning
95,3,71.68,71.68,synthetic_gameplay_tuning
96,3,71.07,71.07,synthetic_gameplay_tuning
97,4,70.46,70.46,synthetic_gameplay_tuning
98,4,69.87,69.87,synthetic_gameplay_tuning
99,4,69.29,69.29,synthetic_gameplay_tuning
100,4,68.73,68.73,synthetic_gameplay_tuning
101,4,68.17,68.17,synthetic_gameplay_tuning
102,4,67.62,67.62,synthetic_gameplay_tuning
103,4,67.08,67.08,synthetic_gameplay_tuning
104,4,66.55,66.55,synthetic_gameplay_tuning
105,4,66.03,66.03,synthetic_gameplay_tuning
106,4,65.52,65.52,synthetic_gameplay_tuning
107,4,65.02,65.02,synthetic_gameplay_tuning
108,4,64.52,64.52,synthetic_gameplay_tuning
109,4,64.04,64.04,synthetic_gameplay_tuning
110,4,63.56,63.56,synthetic_gameplay_tuning
111,4,63.09,63.09,synthetic_gameplay_tuning
112,4,62.63,62.63,synthetic_gameplay_tuning
113,4,62.17,62.17,synthetic_gameplay_tuning
114,4,61.72,61.72,synthetic_gameplay_tuning
115,4,61.28,61.28,synthetic_gameplay_tuning
116,4,60.85,60.85,synthetic_gameplay_tuning
117,4,60.42,60.42,synthetic_gameplay_tuning
118,4,60.0,60.0,synthetic_gameplay_tuning
119,4,59.59,59.59,synthetic_gameplay_tuning
120,4,59.18,59.18,synthetic_gameplay_tuning
121,4,58.78,58.78,synthetic_gameplay_tuning
122,4,58.39,58.39,synthetic_gameplay_tuning
123,4,58.0,58.0,synthetic_gameplay_tuning
124,4,57.61,57.61,synthetic_gameplay_tuning
125,4,57.23,57.23,synthetic_gameplay_tuning
126,4,56.86,56.86,synthetic_gameplay_tuning
127,4,56.49,56.49,synthetic_gameplay_tuning
128,4,56.13,56.13,synthetic_gameplay_tuning
129,5,55.77,55.77,synthetic_gameplay_tuning
130,5,55.42,55.42,synthetic_gameplay_tuning
131,5,55.08,55.08,synthetic_gameplay_tuning
132,5,54.73,54.73,synthetic_gameplay_tuning
133,5,54.4,54.4,synthetic_gameplay_tuning
134,5,54.06,54.06,synthetic_gameplay_tuning
135,5,53.73,53.73,synthetic_gameplay_tuning
136,5,53.41,53.41,synthetic_gameplay_tuning
137,5,53.09,53.09,synthetic_gameplay_tuning
138,5,52.77,52.77,synthetic_gameplay_tuning
139,5,52.46,52.46,synthetic_gameplay_tuning
140,5,52.16,52.16,synthetic_gameplay_tuning
141,5,51.85,51.85,synthetic_gameplay_tuning
142,5,51.55,51.55,synthetic_gameplay_tuning
143,5,51.26,51.26,synthetic_gameplay_tuning
144,5,50.96,50.96,synthetic_gameplay_tuning
145,5,50.68,50.68,synthetic_gameplay_tuning
146,5,50.39,50.39,synthetic_gameplay_tuning
147,5,50.11,50.11,synthetic_gameplay_tuning
148,5,49.83,49.83,synthetic_gameplay_tuning
149,5,49.56,49.56,synthetic_gameplay_tuning
150,5,49.29,49.29,synthetic_gameplay_tuning
151,5,49.02,49.02,synthetic_gameplay_tuning
152,5,48.75,48.75,synthetic_gameplay_tuning
153,5,48.49,48.49,synthetic_gameplay_tuning
154,5,48.23,48.23,synthetic_gameplay_tuning
155,5,47.98,47.98,synthetic_gameplay_tuning
156,5,47.73,47.73,synthetic_gameplay_tuning
157,5,47.48,47.48,synthetic_gameplay_tuning
158,5,47.23,47.23,synthetic_gameplay_tuning
159,5,46.99,46.99,synthetic_gameplay_tuning
160,5,46.75,46.75,synthetic_gameplay_tuning
161,6,46.51,46.51,synthetic_gameplay_tuning
162,6,46.27,46.27,synthetic_gameplay_tuning
163,6,46.04,46.04,synthetic_gameplay_tuning
164,6,45.81,45.81,synthetic_gameplay_tuning
165,6,45.58,45.58,synthetic_gameplay_tuning
166,6,45.36,45.36,synthetic_gameplay_tuning
167,6,45.13,45.13,synthetic_gameplay_tuning
168,6,44.91,44.91,synthetic_gameplay_tuning
169,6,44.69,44.69,synthetic_gameplay_tuning
170,6,44.48,44.48,synthetic_gameplay_tuning
171,6,44.27,44.27,synthetic_gameplay_tuning
172,6,44.05,44.05,synthetic_gameplay_tuning
173,6,43.85,43.85,synthetic_gameplay_tuning
174,6,43.64,43.64,synthetic_gameplay_tuning
175,6,43.43,43.43,synthetic_gameplay_tuning
176,6,43.23,43.23,synthetic_gameplay_tuning
177,6,43.03,43.03,synthetic_gameplay_tuning
178,6,42.83,42.83,synthetic_gameplay_tuning
179,6,42.64,42.64,synthetic_gameplay_tuning
180,6,42.44,42.44,synthetic_gameplay_tuning
181,6,42.25,42.25,synthetic_gameplay_tuning
182,6,42.06,42.06,synthetic_gameplay_tuning
183,6,41.87,41.87,synthetic_gameplay_tuning
184,6,41.68,41.68,synthetic_gameplay_tuning
185,6,41.5,41.5,synthetic_gameplay_tuning
186,6,41.32,41.32,synthetic_gameplay_tuning
187,6,41.13,41.13,synthetic_gameplay_tuning
188,6,40.96,40.96,synthetic_gameplay_tuning
189,6,40.78,40.78,synthetic_gameplay_tuning
190,6,40.6,40.6,synthetic_gameplay_tuning
191,6,40.43,40.43,synthetic_gameplay_tuning
192,6,40.25,40.25,synthetic_gameplay_tuning
193,7,40.08,40.08,synthetic_gameplay_tuning
194,7,39.91,39.91,synthetic_gameplay_tuning
195,7,39.75,39.75,synthetic_gameplay_tuning
196,7,39.58,39.58,synthetic_gameplay_tuning
197,7,39.41,39.41,synthetic_gameplay_tuning
198,7,39.25,39.25,synthetic_gameplay_tuning
199,7,39.09,39.09,synthetic_gameplay_tuning
200,7,38.93,38.93,synthetic_gameplay_tuning
201,7,38.77,38.77,synthetic_gameplay_tuning
202,7,38.61,38.61,synthetic_gameplay_tuning
203,7,38.46,38.46,synthetic_gameplay_tuning
204,7,38.3,38.3,synthetic_gameplay_tuning
205,7,38.15,38.15,synthetic_gameplay_tuning
206,7,38.0,38.0,synthetic_gameplay_tuning
207,7,37.85,37.85,synthetic_gameplay_tuning
208,7,37.7,37.7,synthetic_gameplay_tuning
209,7,37.55,37.55,synthetic_gameplay_tuning
210,7,37.4,37.4,synthetic_gameplay_tuning
211,7,37.26,37.26,synthetic_gameplay_tuning
212,7,37.11,37.11,synthetic_gameplay_tuning
213,7,36.97,36.97,synthetic_gameplay_tuning
214,7,36.83,36.83,synthetic_gameplay_tuning
215,7,36.69,36.69,synthetic_gameplay_tuning
216,7,36.55,36.55,synthetic_gameplay_tuning
217,7,36.41,36.41,synthetic_gameplay_tuning
218,7,36.27,36.27,synthetic_gameplay_tuning
219,7,36.14,36.14,synthetic_gameplay_tuning
220,7,36.0,36.0,synthetic_gameplay_tuning
221,7,35.87,35.87,synthetic_gameplay_tuning
222,7,35.74,35.74,synthetic_gameplay_tuning
223,7,35.61,35.61,synthetic_gameplay_tuning
224,7,35.47,35.47,synthetic_gameplay_tuning
225,8,35.35,35.35,synthetic_gameplay_tuning
226,8,35.22,35.22,synthetic_gameplay_tuning
227,8,35.09,35.09,synthetic_gameplay_tuning
228,8,34.96,34.96,synthetic_gameplay_tuning
229,8,34.84,34.84,synthetic_gameplay_tuning
230,8,34.71,34.71,synthetic_gameplay_tuning
231,8,34.59,34.59,synthetic_gameplay_tuning
232,8,34.47,34.47,synthetic_gameplay_tuning
233,8,34.35,34.35,synthetic_gameplay_tuning
