template_id,final_position,target_count,min_count,max_count
fbs_85,QB,4,2,7
fbs_85,RB,6,4,9
fbs_85,WR,12,10,15
fbs_85,TE,5,3,8
fbs_85,LT,4,2,7
fbs_85,LG,4,2,7
fbs_85,C,3,1,6
fbs_85,RG,4,2,7
fbs_85,RT,4,2,7
fbs_85,EDGE,8,6,11
fbs_85,DL,8,6,11
fbs_85,LB,9,7,12
fbs_85,CB,9,7,12
fbs_85,S,7,5,10
fbs_85,K,1,1,4
fbs_85,P,1,1,4
fcs_63,QB,4,2,7
fcs_63,RB,5,3,8
fcs_63,WR,10,8,13
fcs_63,TE,4,2,7
fcs_63,LT,3,1,6
fcs_63,LG,3,1,6
fcs_63,C,3,1,6
fcs_63,RG,3,1,6
fcs_63,RT,3,1,6
fcs_63,EDGE,7,5,10
fcs_63,DL,7,5,10
fcs_63,LB,8,6,11
fcs_63,CB,8,6,11
fcs_63,S,6,4,9
fcs_63,K,1,1,4
fcs_63,P,1,1,4
