domain,source_file,source_table,record_category,source_row,row_key,payload_json
college_awards,college_award_class_role_modifiers.csv,college_award_class_role_modifiers,modifier,1,college_award_class_role_modifiers:1,"{""class_group"":""freshman"",""national_award_multiplier"":""0.25"",""conference_award_multiplier"":""0.65"",""freshman_award_multiplier"":""1.0"",""notes"":""Freshmen rarely national winners but can win freshman/newcomer awards.""}"
college_awards,college_award_class_role_modifiers.csv,college_award_class_role_modifiers,modifier,2,college_award_class_role_modifiers:2,"{""class_group"":""sophomore"",""national_award_multiplier"":""0.85"",""conference_award_multiplier"":""0.95"",""freshman_award_multiplier"":""0.0"",""notes"":""Sophomores can win major awards if elite.""}"
college_awards,college_award_class_role_modifiers.csv,college_award_class_role_modifiers,modifier,3,college_award_class_role_modifiers:3,"{""class_group"":""junior"",""national_award_multiplier"":""1.12"",""conference_award_multiplier"":""1.08"",""freshman_award_multiplier"":""0.0"",""notes"":""Prime award class.""}"
college_awards,college_award_class_role_modifiers.csv,college_award_class_role_modifiers,modifier,4,college_award_class_role_modifiers:4,"{""class_group"":""senior"",""national_award_multiplier"":""1.18"",""conference_award_multiplier"":""1.12"",""freshman_award_multiplier"":""0.0"",""notes"":""Awards often favor established upperclassmen.""}"
college_awards,college_award_class_role_modifiers.csv,college_award_class_role_modifiers,modifier,5,college_award_class_role_modifiers:5,"{""class_group"":""redshirt_senior"",""national_award_multiplier"":""1.05"",""conference_award_multiplier"":""1.1"",""freshman_award_multiplier"":""0.0"",""notes"":""Strong senior narrative but may be older prospect.""}"
college_awards,college_award_eligibility_rules.csv,college_award_eligibility_rules,rule,1,heisman,"{""award_id"":""heisman"",""min_games_played"":""10"",""eligible_class_years"":""SO|JR|SR|RS-FR|RS-SO|RS-JR|RS-SR"",""min_role_tier"":""starter"",""requires_one_school_season"":""False"",""postseason_counts"":""False"",""injury_exception_allowed"":""True"",""notes"":""Year Zero history generation may award with generated season stat lines; not a hard proof of true ability.""}"
college_awards,college_award_eligibility_rules.csv,college_award_eligibility_rules,rule,2,maxwell,"{""award_id"":""maxwell"",""min_games_played"":""10"",""eligible_class_years"":""SO|JR|SR|RS-SO|RS-JR|RS-SR"",""min_role_tier"":""starter"",""requires_one_school_season"":""False"",""postseason_counts"":""False"",""injury_exception_allowed"":""True"",""notes"":""Year Zero history generation may award with generated season stat lines; not a hard proof of true ability.""}"
college_awards,college_award_eligibility_rules.csv,college_award_eligibility_rules,rule,3,walter_camp_poy,"{""award_id"":""walter_camp_poy"",""min_games_played"":""10"",""eligible_class_years"":""SO|JR|SR|RS-SO|RS-JR|RS-SR"",""min_role_tier"":""starter"",""requires_one_school_season"":""False"",""postseason_counts"":""False"",""injury_exception_allowed"":""True"",""notes"":""Year Zero history generation may award with generated season stat lines; not a hard proof of true ability.""}"
college_awards,college_award_eligibility_rules.csv,college_award_eligibility_rules,rule,4,davey_obrien,"{""award_id"":""davey_obrien"",""min_games_played"":""9"",""eligible_class_years"":""FR|SO|JR|SR|RS-FR|RS-SO|RS-JR|RS-SR"",""min_role_tier"":""starter"",""requires_one_school_season"":""False"",""postseason_counts"":""False"",""injury_exception_allowed"":""True"",""notes"":""Year Zero history generation may award with generated season stat lines; not a hard proof of true ability.""}"
college_awards,college_award_eligibility_rules.csv,college_award_eligibility_rules,rule,5,doak_walker,"{""award_id"":""doak_walker"",""min_games_played"":""9"",""eligible_class_years"":""FR|SO|JR|SR|RS-FR|RS-SO|RS-JR|RS-SR"",""min_role_tier"":""starter"",""requires_one_school_season"":""False"",""postseason_counts"":""False"",""injury_exception_allowed"":""True"",""notes"":""Year Zero history generation may award with generated season stat lines; not a hard proof of true ability.""}"
college_awards,college_award_eligibility_rules.csv,college_award_eligibility_rules,rule,6,biletnikoff,"{""award_id"":""biletnikoff"",""min_games_played"":""9"",""eligible_class_years"":""FR|SO|JR|SR|RS-FR|RS-SO|RS-JR|RS-SR"",""min_role_tier"":""starter"",""requires_one_school_season"":""False"",""postseason_counts"":""False"",""injury_exception_allowed"":""True"",""notes"":""Year Zero history generation may award with generated season stat lines; not a hard proof of true ability.""}"
college_awards,college_award_eligibility_rules.csv,college_award_eligibility_rules,rule,7,conference_freshman_poy,"{""award_id"":""conference_freshman_poy"",""min_games_played"":""6"",""eligible_class_years"":""FR|RS-FR"",""min_role_tier"":""rotation"",""requires_one_school_season"":""False"",""postseason_counts"":""False"",""injury_exception_allowed"":""True"",""notes"":""Year Zero history generation may award with generated season stat lines; not a hard proof of true ability.""}"
college_awards,college_award_eligibility_rules.csv,college_award_eligibility_rules,rule,8,conference_newcomer_poy,"{""award_id"":""conference_newcomer_poy"",""min_games_played"":""6"",""eligible_class_years"":""FR|RS-FR|SO|RS-SO|JR|RS-JR|SR|RS-SR"",""min_role_tier"":""rotation"",""requires_one_school_season"":""False"",""postseason_counts"":""False"",""injury_exception_allowed"":""True"",""notes"":""Year Zero history generation may award with generated season stat lines; not a hard proof of true ability.""}"
college_awards,college_award_eligibility_rules.csv,college_award_eligibility_rules,rule,9,conference_first_team,"{""award_id"":""conference_first_team"",""min_games_played"":""7"",""eligible_class_years"":""FR|SO|JR|SR|RS-FR|RS-SO|RS-JR|RS-SR"",""min_role_tier"":""rotation"",""requires_one_school_season"":""False"",""postseason_counts"":""False"",""injury_exception_allowed"":""True"",""notes"":""Year Zero history generation may award with generated season stat lines; not a hard proof of true ability.""}"
college_awards,college_award_eligibility_rules.csv,college_award_eligibility_rules,rule,10,unanimous_all_american,"{""award_id"":""unanimous_all_american"",""min_games_played"":""10"",""eligible_class_years"":""SO|JR|SR|RS-SO|RS-JR|RS-SR"",""min_role_tier"":""starter"",""requires_one_school_season"":""False"",""postseason_counts"":""False"",""injury_exception_allowed"":""True"",""notes"":""Year Zero history generation may award with generated season stat lines; not a hard proof of true ability.""}"
college_awards,college_award_eligibility_rules.csv,college_award_eligibility_rules,rule,11,consensus_all_american,"{""award_id"":""consensus_all_american"",""min_games_played"":""10"",""eligible_class_years"":""SO|JR|SR|RS-SO|RS-JR|RS-SR"",""min_role_tier"":""starter"",""requires_one_school_season"":""False"",""postseason_counts"":""False"",""injury_exception_allowed"":""True"",""notes"":""Year Zero history generation may award with generated season stat lines; not a hard proof of true ability.""}"
college_awards,college_award_generation_examples.csv,college_award_generation_examples,example,1,QB,"{""example_id"":""elite_qb_heisman"",""position"":""QB"",""class_year"":""JR"",""program_tier"":""elite_power"",""production_summary"":""4200 pass yds, 42 pass TD, playoff contender"",""awards"":""Heisman|Maxwell|Davey OBrien|Consensus All-American|Conference POY"",""draft_effect"":""major signal; likely high draft grade if NFL translation and traits support it""}"
college_awards,college_award_generation_examples.csv,college_award_generation_examples,example,2,EDGE,"{""example_id"":""small_school_edge_sleeper"",""position"":""EDGE"",""class_year"":""SR"",""program_tier"":""g5_high"",""production_summary"":""16 sacks, 23 TFL, conference title"",""awards"":""Conference DPOY|First Team All-Conference|Third Team All-American"",""draft_effect"":""visibility boost; competition translation still required""}"
college_awards,college_award_generation_examples.csv,college_award_generation_examples,example,3,C,"{""example_id"":""center_rimington"",""position"":""C"",""class_year"":""RS-SR"",""program_tier"":""high_power"",""production_summary"":""elite OL proxy score, low pressure rate, captain"",""awards"":""Rimington|First Team All-American|First Team All-Conference"",""draft_effect"":""strong center-specific draft signal, not generic overall boost""}"
college_awards,college_award_generation_examples.csv,college_award_generation_examples,example,4,WR,"{""example_id"":""freshman_wr_star"",""position"":""WR"",""class_year"":""FR"",""program_tier"":""elite_power"",""production_summary"":""900 receiving yards, 9 TD"",""awards"":""Conference Freshman POY|Second Team All-Conference"",""draft_effect"":""future potential signal; not immediately draft eligible""}"
college_awards,college_award_generation_examples.csv,college_award_generation_examples,example,5,K,"{""example_id"":""kicker_groza"",""position"":""K"",""class_year"":""SR"",""program_tier"":""mid_power"",""production_summary"":""25/27 FG, long 57, perfect PAT"",""awards"":""Lou Groza|First Team All-American|First Team All-Conference"",""draft_effect"":""specialist-only draft boost; cap at specialist draft value""}"
college_awards,college_award_history_generation_algorithm.csv,college_award_history_generation_algorithm,algorithm,1,college_award_history_generation_algorithm:1,"{""step_order"":""1"",""step_id"":""generate_season_stat_lines"",""description"":""Use college production history outputs for each eligible player-season.""}"
college_awards,college_award_history_generation_algorithm.csv,college_award_history_generation_algorithm,algorithm,2,college_award_history_generation_algorithm:2,"{""step_order"":""2"",""step_id"":""compute_award_candidate_scores"",""description"":""For each award, score eligible players using production, rating, competition, team success, and narrative weights.""}"
college_awards,college_award_history_generation_algorithm.csv,college_award_history_generation_algorithm,algorithm,3,college_award_history_generation_algorithm:3,"{""step_order"":""3"",""step_id"":""apply_visibility_modifiers"",""description"":""Apply program tier, conference strength, class year, role, and scouting visibility modifiers.""}"
college_awards,college_award_history_generation_algorithm.csv,college_award_history_generation_algorithm,algorithm,4,college_award_history_generation_algorithm:4,"{""step_order"":""4"",""step_id"":""select_conference_awards"",""description"":""Select conference awards within each conference first, including first/second teams and honorable mentions.""}"
college_awards,college_award_history_generation_algorithm.csv,college_award_history_generation_algorithm,algorithm,5,college_award_history_generation_algorithm:5,"{""step_order"":""5"",""step_id"":""select_all_america_honors"",""description"":""Build national position lists and assign first/second/third-team All-America honors.""}"
college_awards,college_award_history_generation_algorithm.csv,college_award_history_generation_algorithm,algorithm,6,college_award_history_generation_algorithm:6,"{""step_order"":""6"",""step_id"":""select_consensus_unanimous"",""description"":""Use selector-score simulation to mark consensus and rare unanimous All-Americans.""}"
college_awards,college_award_history_generation_algorithm.csv,college_award_history_generation_algorithm,algorithm,7,college_award_history_generation_algorithm:7,"{""step_order"":""7"",""step_id"":""select_major_national_awards"",""description"":""Select Heisman/finalists and national position awards from highest eligible candidates with rarity and position rules.""}"
college_awards,college_award_history_generation_algorithm.csv,college_award_history_generation_algorithm,algorithm,8,college_award_history_generation_algorithm:8,"{""step_order"":""8"",""step_id"":""resolve_award_stacking"",""description"":""Allow elite stacking but prevent impossible duplicates or too many national awards on mediocre players.""}"
college_awards,college_award_history_generation_algorithm.csv,college_award_history_generation_algorithm,algorithm,9,college_award_history_generation_algorithm:9,"{""step_order"":""9"",""step_id"":""write_history_rows"",""description"":""Attach award history to player, season, team, stats, and explanation.""}"
college_awards,college_award_history_generation_algorithm.csv,college_award_history_generation_algorithm,algorithm,10,college_award_history_generation_algorithm:10,"{""step_order"":""10"",""step_id"":""apply_draft_scouting_signal"",""description"":""Convert award tier to draft signal and scouting confidence boost, but do not override true ratings.""}"
college_awards,college_award_history_generation_algorithm.csv,college_award_history_generation_algorithm,algorithm,11,college_award_history_generation_algorithm:11,"{""step_order"":""11"",""step_id"":""validate_balance_targets"",""description"":""Check national, conference, position, and class balance targets.""}"
college_awards,college_award_history_generation_rules.csv,college_award_history_generation_rules,rule,1,college_award_history_generation_rules:1,"{""award_group"":""heisman"",""award_tier"":""national_elite"",""history_probability"":""1.0"",""ui_display_mode"":""headline"",""required_stat_detail"":""full"",""draft_signal_class"":""major_draft_signal"",""notes"":""For Year Zero, histories explain career arc and may inform scouting, but should not override true ratings.""}"
college_awards,college_award_history_generation_rules.csv,college_award_history_generation_rules,rule,2,college_award_history_generation_rules:2,"{""award_group"":""maxwell"",""award_tier"":""national_elite"",""history_probability"":""0.75"",""ui_display_mode"":""headline"",""required_stat_detail"":""full"",""draft_signal_class"":""major_draft_signal"",""notes"":""For Year Zero, histories explain career arc and may inform scouting, but should not override true ratings.""}"
college_awards,college_award_history_generation_rules.csv,college_award_history_generation_rules,rule,3,college_award_history_generation_rules:3,"{""award_group"":""walter_camp_poy"",""award_tier"":""national_elite"",""history_probability"":""0.75"",""ui_display_mode"":""headline"",""required_stat_detail"":""full"",""draft_signal_class"":""major_draft_signal"",""notes"":""For Year Zero, histories explain career arc and may inform scouting, but should not override true ratings.""}"
college_awards,college_award_history_generation_rules.csv,college_award_history_generation_rules,rule,4,college_award_history_generation_rules:4,"{""award_group"":""national_position_award"",""award_tier"":""national_position"",""history_probability"":""0.85"",""ui_display_mode"":""award_badge"",""required_stat_detail"":""full"",""draft_signal_class"":""position_draft_signal"",""notes"":""For Year Zero, histories explain career arc and may inform scouting, but should not override true ratings.""}"
college_awards,college_award_history_generation_rules.csv,college_award_history_generation_rules,rule,5,college_award_history_generation_rules:5,"{""award_group"":""unanimous_all_american"",""award_tier"":""all_america_elite"",""history_probability"":""1.0"",""ui_display_mode"":""award_badge"",""required_stat_detail"":""full"",""draft_signal_class"":""major_draft_signal"",""notes"":""For Year Zero, histories explain career arc and may inform scouting, but should not override true ratings.""}"
college_awards,college_award_history_generation_rules.csv,college_award_history_generation_rules,rule,6,college_award_history_generation_rules:6,"{""award_group"":""consensus_all_american"",""award_tier"":""all_america_elite"",""history_probability"":""1.0"",""ui_display_mode"":""award_badge"",""required_stat_detail"":""full"",""draft_signal_class"":""major_draft_signal"",""notes"":""For Year Zero, histories explain career arc and may inform scouting, but should not override true ratings.""}"
college_awards,college_award_history_generation_rules.csv,college_award_history_generation_rules,rule,7,college_award_history_generation_rules:7,"{""award_group"":""first_team_all_american"",""award_tier"":""all_america_major"",""history_probability"":""0.95"",""ui_display_mode"":""award_badge"",""required_stat_detail"":""full"",""draft_signal_class"":""strong_draft_signal"",""notes"":""For Year Zero, histories explain career arc and may inform scouting, but should not override true ratings.""}"
