domain,source_file,source_table,record_category,source_row,row_key,payload_json
college_rosters,college_class_distribution_research_basis.csv,college_class_distribution_research_basis,research_basis,1,college_class_distribution_research_basis:1,"{""research_topic"":""DI football roster cap"",""finding"":""Modern DI football modeling should use a 105-player cap after the House settlement, with scholarship limits removed/replaced by roster limits for covered/opt-in programs."",""game_impact"":""Year Zero full college rosters target exactly 105 players for every college team per user preference."",""confidence"":""high"",""source_note"":""NCAA DI roster-limit reporting and 2025-26 rule summaries.""}"
college_rosters,college_class_distribution_research_basis.csv,college_class_distribution_research_basis,research_basis,2,college_class_distribution_research_basis:2,"{""research_topic"":""Redshirt structure"",""finding"":""Traditional football eligibility remains built around four seasons with redshirt mechanisms, and the football redshirt limit allows limited regular-season participation without burning the redshirt; postseason no-count changes complicate but do not remove redshirt modeling."",""game_impact"":""Use TRUE/RS class states and redshirt-heavy developmental position groups."",""confidence"":""high"",""source_note"":""NCAA redshirt rule summaries and 2024 postseason no-count reporting.""}"
college_rosters,college_class_distribution_research_basis.csv,college_class_distribution_research_basis,research_basis,3,college_class_distribution_research_basis:3,"{""research_topic"":""Eligibility reform risk"",""finding"":""A five-year eligibility model has been discussed/proposed for 2026-27, but it is not appropriate to collapse the Year Zero model until implemented and stable."",""game_impact"":""Keep current detailed class/redshirt model, with compatibility for future eligibility_mode switch."",""confidence"":""medium"",""source_note"":""Recent eligibility-rule reporting.""}"
college_rosters,college_class_distribution_research_basis.csv,college_class_distribution_research_basis,research_basis,4,college_class_distribution_research_basis:4,"{""research_topic"":""Historical roster class examples"",""finding"":""Public roster examples show large freshman/sophomore counts and meaningful redshirt splits, but old rosters were often larger than 105 and pre-transfer/NIL era."",""game_impact"":""Use historical class shapes only as sanity checks, not direct modern targets."",""confidence"":""medium"",""source_note"":""Public team roster class breakdown examples.""}"
college_rosters,college_class_distribution_research_basis.csv,college_class_distribution_research_basis,research_basis,5,college_class_distribution_research_basis:5,"{""research_topic"":""Portal era roster management"",""finding"":""The transfer portal and new roster caps increase roster churn and make upperclass/transfer composition more variable by program tier."",""game_impact"":""Add source mix by class, portal class mix, and roster repair rules."",""confidence"":""medium"",""source_note"":""Transfer portal and roster-limit reporting.""}"
college_rosters,college_development_backfill_curve.csv,college_development_backfill_curve,runtime_tuning,1,QB,"{""position_group"":""QB"",""role_tier"":""star"",""completed_college_years"":""0"",""expected_college_ovr_gain"":""0.0"",""gain_min"":""0"",""gain_max"":""4.5"",""injury_drag_max"":""2.0"",""breakout_allowed"":""rare"",""notes"":""Backfilled development before Year Zero, not future seasonal dev.""}"
college_rosters,college_development_backfill_curve.csv,college_development_backfill_curve,runtime_tuning,2,QB,"{""position_group"":""QB"",""role_tier"":""star"",""completed_college_years"":""1"",""expected_college_ovr_gain"":""4.71"",""gain_min"":""1.21"",""gain_max"":""9.21"",""injury_drag_max"":""2.0"",""breakout_allowed"":""rare"",""notes"":""Backfilled development before Year Zero, not future seasonal dev.""}"
college_rosters,college_development_backfill_curve.csv,college_development_backfill_curve,runtime_tuning,3,QB,"{""position_group"":""QB"",""role_tier"":""star"",""completed_college_years"":""2"",""expected_college_ovr_gain"":""8.8"",""gain_min"":""5.3"",""gain_max"":""13.3"",""injury_drag_max"":""4.0"",""breakout_allowed"":""yes"",""notes"":""Backfilled development before Year Zero, not future seasonal dev.""}"
college_rosters,college_development_backfill_curve.csv,college_development_backfill_curve,runtime_tuning,4,QB,"{""position_group"":""QB"",""role_tier"":""star"",""completed_college_years"":""3"",""expected_college_ovr_gain"":""12.25"",""gain_min"":""8.75"",""gain_max"":""16.75"",""injury_drag_max"":""4.0"",""breakout_allowed"":""yes"",""notes"":""Backfilled development before Year Zero, not future seasonal dev.""}"
college_rosters,college_development_backfill_curve.csv,college_development_backfill_curve,runtime_tuning,5,QB,"{""position_group"":""QB"",""role_tier"":""star"",""completed_college_years"":""4"",""expected_college_ovr_gain"":""15.06"",""gain_min"":""11.56"",""gain_max"":""19.56"",""injury_drag_max"":""4.0"",""breakout_allowed"":""yes"",""notes"":""Backfilled development before Year Zero, not future seasonal dev.""}"
college_rosters,college_development_backfill_curve.csv,college_development_backfill_curve,runtime_tuning,6,QB,"{""position_group"":""QB"",""role_tier"":""starter"",""completed_college_years"":""0"",""expected_college_ovr_gain"":""0.0"",""gain_min"":""0"",""gain_max"":""4.5"",""injury_drag_max"":""2.0"",""breakout_allowed"":""rare"",""notes"":""Backfilled development before Year Zero, not future seasonal dev.""}"
college_rosters,college_development_backfill_curve.csv,college_development_backfill_curve,runtime_tuning,7,QB,"{""position_group"":""QB"",""role_tier"":""starter"",""completed_college_years"":""1"",""expected_college_ovr_gain"":""4.1"",""gain_min"":""0.6"",""gain_max"":""8.6"",""injury_drag_max"":""2.0"",""breakout_allowed"":""rare"",""notes"":""Backfilled development before Year Zero, not future seasonal dev.""}"
college_rosters,college_development_backfill_curve.csv,college_development_backfill_curve,runtime_tuning,8,QB,"{""position_group"":""QB"",""role_tier"":""starter"",""completed_college_years"":""2"",""expected_college_ovr_gain"":""7.65"",""gain_min"":""4.15"",""gain_max"":""12.15"",""injury_drag_max"":""4.0"",""breakout_allowed"":""yes"",""notes"":""Backfilled development before Year Zero, not future seasonal dev.""}"
