domain,source_file,source_table,record_category,source_row,row_key,payload_json
draft_translation,college_to_nfl_position_translation_profiles.csv,college_to_nfl_position_translation_profiles,runtime_tuning,1,QB,"{""position_group"":""QB"",""nfl_readiness_modifier"":""-3"",""rookie_current_ceiling"":""78"",""rookie_current_floor"":""34"",""base_uncertainty_sigma"":""0.18"",""potential_bias"":""4"",""learning_curve"":""slow"",""translation_notes"":""Largest mental/speed translation gap. Even elite college QBs usually enter as low NFL starters or developmental starters.""}"
draft_translation,college_to_nfl_position_translation_profiles.csv,college_to_nfl_position_translation_profiles,runtime_tuning,2,RB,"{""position_group"":""RB"",""nfl_readiness_modifier"":""4"",""rookie_current_ceiling"":""84"",""rookie_current_floor"":""38"",""base_uncertainty_sigma"":""0.11"",""potential_bias"":""-1"",""learning_curve"":""fast"",""translation_notes"":""Running back traits translate fastest; early NFL current rating can be high, but long-term potential/prime window is shorter.""}"
draft_translation,college_to_nfl_position_translation_profiles.csv,college_to_nfl_position_translation_profiles,runtime_tuning,3,WR,"{""position_group"":""WR"",""nfl_readiness_modifier"":""1"",""rookie_current_ceiling"":""83"",""rookie_current_floor"":""36"",""base_uncertainty_sigma"":""0.15"",""potential_bias"":""2"",""learning_curve"":""medium"",""translation_notes"":""Wide receivers vary heavily by route tree, release, separation, and QB/scheme context.""}"
draft_translation,college_to_nfl_position_translation_profiles.csv,college_to_nfl_position_translation_profiles,runtime_tuning,4,TE,"{""position_group"":""TE"",""nfl_readiness_modifier"":""-1"",""rookie_current_ceiling"":""81"",""rookie_current_floor"":""34"",""base_uncertainty_sigma"":""0.17"",""potential_bias"":""2"",""learning_curve"":""slow"",""translation_notes"":""TE translation is slower because blocking, route detail, and alignment variety matter.""}"
draft_translation,college_to_nfl_position_translation_profiles.csv,college_to_nfl_position_translation_profiles,runtime_tuning,5,OL,"{""position_group"":""OL"",""nfl_readiness_modifier"":""2"",""rookie_current_ceiling"":""82"",""rookie_current_floor"":""38"",""base_uncertainty_sigma"":""0.13"",""potential_bias"":""1"",""learning_curve"":""medium"",""translation_notes"":""Top OL can start early, but technical and strength translation still matters.""}"
draft_translation,college_to_nfl_position_translation_profiles.csv,college_to_nfl_position_translation_profiles,runtime_tuning,6,EDGE,"{""position_group"":""EDGE"",""nfl_readiness_modifier"":""1"",""rookie_current_ceiling"":""82"",""rookie_current_floor"":""36"",""base_uncertainty_sigma"":""0.16"",""potential_bias"":""3"",""learning_curve"":""medium"",""translation_notes"":""Pass rush traits are valuable, but rookie consistency is volatile.""}"
draft_translation,college_to_nfl_position_translation_profiles.csv,college_to_nfl_position_translation_profiles,runtime_tuning,7,DL,"{""position_group"":""DL"",""nfl_readiness_modifier"":""2"",""rookie_current_ceiling"":""82"",""rookie_current_floor"":""38"",""base_uncertainty_sigma"":""0.14"",""potential_bias"":""1"",""learning_curve"":""medium"",""translation_notes"":""Interior DL power can translate early; conditioning and technique drive variance.""}"
draft_translation,college_to_nfl_position_translation_profiles.csv,college_to_nfl_position_translation_profiles,runtime_tuning,8,LB,"{""position_group"":""LB"",""nfl_readiness_modifier"":""1"",""rookie_current_ceiling"":""81"",""rookie_current_floor"":""36"",""base_uncertainty_sigma"":""0.14"",""potential_bias"":""0"",""learning_curve"":""medium"",""translation_notes"":""Linebackers need processing/speed fit; mid-round value is more plausible than at premium positions.""}"
draft_translation,college_to_nfl_position_translation_profiles.csv,college_to_nfl_position_translation_profiles,runtime_tuning,9,CB,"{""position_group"":""CB"",""nfl_readiness_modifier"":""0"",""rookie_current_ceiling"":""83"",""rookie_current_floor"":""36"",""base_uncertainty_sigma"":""0.17"",""potential_bias"":""3"",""learning_curve"":""slow"",""translation_notes"":""CB has high ceiling but large technique and mental variance.""}"
draft_translation,college_to_nfl_position_translation_profiles.csv,college_to_nfl_position_translation_profiles,runtime_tuning,10,S,"{""position_group"":""S"",""nfl_readiness_modifier"":""1"",""rookie_current_ceiling"":""81"",""rookie_current_floor"":""36"",""base_uncertainty_sigma"":""0.14"",""potential_bias"":""0"",""learning_curve"":""medium"",""translation_notes"":""Safety processing and role versatility can translate faster than outside CB.""}"
draft_translation,college_to_nfl_position_translation_profiles.csv,college_to_nfl_position_translation_profiles,runtime_tuning,11,Specialist,"{""position_group"":""Specialist"",""nfl_readiness_modifier"":""4"",""rookie_current_ceiling"":""85"",""rookie_current_floor"":""42"",""base_uncertainty_sigma"":""0.12"",""potential_bias"":""-2"",""learning_curve"":""fast"",""translation_notes"":""K/P can translate directly; current rating can be comparatively high even with modest draft capital.""}"
draft_translation,college_to_nfl_rating_translation.csv,college_to_nfl_rating_translation,runtime_tuning,1,QB,"{""position_group"":""QB"",""draft_capital_tier"":""top_5"",""pick_min"":""1"",""pick_max"":""5"",""college_band"":""college_98_99"",""college_ovr_min"":""98"",""college_ovr_max"":""99"",""nfl_rookie_ovr_min"":""70"",""nfl_rookie_ovr_max"":""78"",""nfl_potential_min"":""89"",""nfl_potential_max"":""99"",""translation_uncertainty_sigma"":""0.13"",""readiness_tag"":""premium_day_one"",""rare_exception_allowed"":""yes"",""notes"":""Largest mental/speed translation gap. Even elite college QBs usually enter as low NFL starters or developmental starters.""}"
draft_translation,college_to_nfl_rating_translation.csv,college_to_nfl_rating_translation,runtime_tuning,2,QB,"{""position_group"":""QB"",""draft_capital_tier"":""top_5"",""pick_min"":""1"",""pick_max"":""5"",""college_band"":""college_95_97"",""college_ovr_min"":""95"",""college_ovr_max"":""97"",""nfl_rookie_ovr_min"":""68"",""nfl_rookie_ovr_max"":""76"",""nfl_potential_min"":""88"",""nfl_potential_max"":""99"",""translation_uncertainty_sigma"":""0.13"",""readiness_tag"":""premium_day_one"",""rare_exception_allowed"":""yes"",""notes"":""Largest mental/speed translation gap. Even elite college QBs usually enter as low NFL starters or developmental starters.""}"
draft_translation,college_to_nfl_rating_translation.csv,college_to_nfl_rating_translation,runtime_tuning,3,QB,"{""position_group"":""QB"",""draft_capital_tier"":""top_5"",""pick_min"":""1"",""pick_max"":""5"",""college_band"":""college_90_94"",""college_ovr_min"":""90"",""college_ovr_max"":""94"",""nfl_rookie_ovr_min"":""66"",""nfl_rookie_ovr_max"":""74"",""nfl_potential_min"":""87"",""nfl_potential_max"":""99"",""translation_uncertainty_sigma"":""0.13"",""readiness_tag"":""premium_day_one"",""rare_exception_allowed"":""yes"",""notes"":""Largest mental/speed translation gap. Even elite college QBs usually enter as low NFL starters or developmental starters.""}"
draft_translation,college_to_nfl_rating_translation.csv,college_to_nfl_rating_translation,runtime_tuning,4,QB,"{""position_group"":""QB"",""draft_capital_tier"":""top_5"",""pick_min"":""1"",""pick_max"":""5"",""college_band"":""college_84_89"",""college_ovr_min"":""84"",""college_ovr_max"":""89"",""nfl_rookie_ovr_min"":""63"",""nfl_rookie_ovr_max"":""71"",""nfl_potential_min"":""85"",""nfl_potential_max"":""98"",""translation_uncertainty_sigma"":""0.13"",""readiness_tag"":""premium_day_one"",""rare_exception_allowed"":""yes"",""notes"":""Largest mental/speed translation gap. Even elite college QBs usually enter as low NFL starters or developmental starters.""}"
draft_translation,college_to_nfl_rating_translation.csv,college_to_nfl_rating_translation,runtime_tuning,5,QB,"{""position_group"":""QB"",""draft_capital_tier"":""top_5"",""pick_min"":""1"",""pick_max"":""5"",""college_band"":""college_78_83"",""college_ovr_min"":""78"",""college_ovr_max"":""83"",""nfl_rookie_ovr_min"":""59"",""nfl_rookie_ovr_max"":""67"",""nfl_potential_min"":""83"",""nfl_potential_max"":""96"",""translation_uncertainty_sigma"":""0.13"",""readiness_tag"":""premium_day_one"",""rare_exception_allowed"":""yes"",""notes"":""Largest mental/speed translation gap. Even elite college QBs usually enter as low NFL starters or developmental starters.""}"
draft_translation,college_to_nfl_rating_translation.csv,college_to_nfl_rating_translation,runtime_tuning,6,QB,"{""position_group"":""QB"",""draft_capital_tier"":""top_5"",""pick_min"":""1"",""pick_max"":""5"",""college_band"":""college_70_77"",""college_ovr_min"":""70"",""college_ovr_max"":""77"",""nfl_rookie_ovr_min"":""53"",""nfl_rookie_ovr_max"":""60"",""nfl_potential_min"":""80"",""nfl_potential_max"":""93"",""translation_uncertainty_sigma"":""0.15"",""readiness_tag"":""premium_day_one"",""rare_exception_allowed"":""yes"",""notes"":""Largest mental/speed translation gap. Even elite college QBs usually enter as low NFL starters or developmental starters.""}"
draft_translation,college_to_nfl_rating_translation.csv,college_to_nfl_rating_translation,runtime_tuning,7,QB,"{""position_group"":""QB"",""draft_capital_tier"":""top_5"",""pick_min"":""1"",""pick_max"":""5"",""college_band"":""college_60_69"",""college_ovr_min"":""60"",""college_ovr_max"":""69"",""nfl_rookie_ovr_min"":""45"",""nfl_rookie_ovr_max"":""51"",""nfl_potential_min"":""77"",""nfl_potential_max"":""90"",""translation_uncertainty_sigma"":""0.15"",""readiness_tag"":""premium_day_one"",""rare_exception_allowed"":""yes"",""notes"":""Largest mental/speed translation gap. Even elite college QBs usually enter as low NFL starters or developmental starters.""}"
draft_translation,college_to_nfl_rating_translation.csv,college_to_nfl_rating_translation,runtime_tuning,8,QB,"{""position_group"":""QB"",""draft_capital_tier"":""top_5"",""pick_min"":""1"",""pick_max"":""5"",""college_band"":""college_below_60"",""college_ovr_min"":""1"",""college_ovr_max"":""59"",""nfl_rookie_ovr_min"":""38"",""nfl_rookie_ovr_max"":""44"",""nfl_potential_min"":""73"",""nfl_potential_max"":""86"",""translation_uncertainty_sigma"":""0.15"",""readiness_tag"":""premium_day_one"",""rare_exception_allowed"":""yes"",""notes"":""Largest mental/speed translation gap. Even elite college QBs usually enter as low NFL starters or developmental starters.""}"
draft_translation,college_to_nfl_rating_translation.csv,college_to_nfl_rating_translation,runtime_tuning,9,QB,"{""position_group"":""QB"",""draft_capital_tier"":""top_10"",""pick_min"":""6"",""pick_max"":""10"",""college_band"":""college_98_99"",""college_ovr_min"":""98"",""college_ovr_max"":""99"",""nfl_rookie_ovr_min"":""68"",""nfl_rookie_ovr_max"":""76"",""nfl_potential_min"":""88"",""nfl_potential_max"":""99"",""translation_uncertainty_sigma"":""0.14"",""readiness_tag"":""premium_day_one"",""rare_exception_allowed"":""yes"",""notes"":""Largest mental/speed translation gap. Even elite college QBs usually enter as low NFL starters or developmental starters.""}"
draft_translation,college_to_nfl_rating_translation.csv,college_to_nfl_rating_translation,runtime_tuning,10,QB,"{""position_group"":""QB"",""draft_capital_tier"":""top_10"",""pick_min"":""6"",""pick_max"":""10"",""college_band"":""college_95_97"",""college_ovr_min"":""95"",""college_ovr_max"":""97"",""nfl_rookie_ovr_min"":""66"",""nfl_rookie_ovr_max"":""74"",""nfl_potential_min"":""87"",""nfl_potential_max"":""99"",""translation_uncertainty_sigma"":""0.14"",""readiness_tag"":""premium_day_one"",""rare_exception_allowed"":""yes"",""notes"":""Largest mental/speed translation gap. Even elite college QBs usually enter as low NFL starters or developmental starters.""}"
draft_translation,college_to_nfl_rating_translation.csv,college_to_nfl_rating_translation,runtime_tuning,11,QB,"{""position_group"":""QB"",""draft_capital_tier"":""top_10"",""pick_min"":""6"",""pick_max"":""10"",""college_band"":""college_90_94"",""college_ovr_min"":""90"",""college_ovr_max"":""94"",""nfl_rookie_ovr_min"":""64"",""nfl_rookie_ovr_max"":""72"",""nfl_potential_min"":""86"",""nfl_potential_max"":""99"",""translation_uncertainty_sigma"":""0.14"",""readiness_tag"":""premium_day_one"",""rare_exception_allowed"":""yes"",""notes"":""Largest mental/speed translation gap. Even elite college QBs usually enter as low NFL starters or developmental starters.""}"
draft_translation,college_to_nfl_rating_translation.csv,college_to_nfl_rating_translation,runtime_tuning,12,QB,"{""position_group"":""QB"",""draft_capital_tier"":""top_10"",""pick_min"":""6"",""pick_max"":""10"",""college_band"":""college_84_89"",""college_ovr_min"":""84"",""college_ovr_max"":""89"",""nfl_rookie_ovr_min"":""61"",""nfl_rookie_ovr_max"":""69"",""nfl_potential_min"":""84"",""nfl_potential_max"":""97"",""translation_uncertainty_sigma"":""0.14"",""readiness_tag"":""premium_day_one"",""rare_exception_allowed"":""yes"",""notes"":""Largest mental/speed translation gap. Even elite college QBs usually enter as low NFL starters or developmental starters.""}"
draft_translation,college_to_nfl_rating_translation.csv,college_to_nfl_rating_translation,runtime_tuning,13,QB,"{""position_group"":""QB"",""draft_capital_tier"":""top_10"",""pick_min"":""6"",""pick_max"":""10"",""college_band"":""college_78_83"",""college_ovr_min"":""78"",""college_ovr_max"":""83"",""nfl_rookie_ovr_min"":""57"",""nfl_rookie_ovr_max"":""65"",""nfl_potential_min"":""82"",""nfl_potential_max"":""95"",""translation_uncertainty_sigma"":""0.14"",""readiness_tag"":""premium_day_one"",""rare_exception_allowed"":""yes"",""notes"":""Largest mental/speed translation gap. Even elite college QBs usually enter as low NFL starters or developmental starters.""}"
