domain,source_file,source_table,record_category,source_row,row_key,payload_json
high_school_recruits,high_school_position_distribution.csv,high_school_position_distribution,weight_distribution,1,high_school_position_distribution:1,"{""generation_position"":""QB"",""weight"":""0.065"",""weight_group"":""hs_position_distribution"",""final_position_required"":""no"",""notes"":""Generation position. Broad labels must convert before roster import.""}"
high_school_recruits,high_school_position_distribution.csv,high_school_position_distribution,weight_distribution,2,high_school_position_distribution:2,"{""generation_position"":""RB"",""weight"":""0.085"",""weight_group"":""hs_position_distribution"",""final_position_required"":""no"",""notes"":""Generation position. Broad labels must convert before roster import.""}"
high_school_recruits,high_school_position_distribution.csv,high_school_position_distribution,weight_distribution,3,high_school_position_distribution:3,"{""generation_position"":""WR"",""weight"":""0.155"",""weight_group"":""hs_position_distribution"",""final_position_required"":""no"",""notes"":""Generation position. Broad labels must convert before roster import.""}"
high_school_recruits,high_school_position_distribution.csv,high_school_position_distribution,weight_distribution,4,high_school_position_distribution:4,"{""generation_position"":""TE"",""weight"":""0.065"",""weight_group"":""hs_position_distribution"",""final_position_required"":""no"",""notes"":""Generation position. Broad labels must convert before roster import.""}"
high_school_recruits,high_school_position_distribution.csv,high_school_position_distribution,weight_distribution,5,high_school_position_distribution:5,"{""generation_position"":""OT"",""weight"":""0.075"",""weight_group"":""hs_position_distribution"",""final_position_required"":""yes"",""notes"":""Generation position. Broad labels must convert before roster import.""}"
high_school_recruits,high_school_position_distribution.csv,high_school_position_distribution,weight_distribution,6,high_school_position_distribution:6,"{""generation_position"":""IOL"",""weight"":""0.08"",""weight_group"":""hs_position_distribution"",""final_position_required"":""yes"",""notes"":""Generation position. Broad labels must convert before roster import.""}"
high_school_recruits,high_school_position_distribution.csv,high_school_position_distribution,weight_distribution,7,high_school_position_distribution:7,"{""generation_position"":""EDGE"",""weight"":""0.09"",""weight_group"":""hs_position_distribution"",""final_position_required"":""no"",""notes"":""Generation position. Broad labels must convert before roster import.""}"
high_school_recruits,high_school_position_distribution.csv,high_school_position_distribution,weight_distribution,8,high_school_position_distribution:8,"{""generation_position"":""IDL"",""weight"":""0.095"",""weight_group"":""hs_position_distribution"",""final_position_required"":""yes"",""notes"":""Generation position. Broad labels must convert before roster import.""}"
high_school_recruits,high_school_position_distribution.csv,high_school_position_distribution,weight_distribution,9,high_school_position_distribution:9,"{""generation_position"":""LB"",""weight"":""0.105"",""weight_group"":""hs_position_distribution"",""final_position_required"":""no"",""notes"":""Generation position. Broad labels must convert before roster import.""}"
high_school_recruits,high_school_position_distribution.csv,high_school_position_distribution,weight_distribution,10,high_school_position_distribution:10,"{""generation_position"":""CB"",""weight"":""0.105"",""weight_group"":""hs_position_distribution"",""final_position_required"":""no"",""notes"":""Generation position. Broad labels must convert before roster import.""}"
high_school_recruits,high_school_position_distribution.csv,high_school_position_distribution,weight_distribution,11,high_school_position_distribution:11,"{""generation_position"":""S"",""weight"":""0.07"",""weight_group"":""hs_position_distribution"",""final_position_required"":""no"",""notes"":""Generation position. Broad labels must convert before roster import.""}"
high_school_recruits,high_school_position_distribution.csv,high_school_position_distribution,weight_distribution,12,high_school_position_distribution:12,"{""generation_position"":""ATH"",""weight"":""0.055"",""weight_group"":""hs_position_distribution"",""final_position_required"":""yes"",""notes"":""Generation position. Broad labels must convert before roster import.""}"
high_school_recruits,high_school_position_distribution.csv,high_school_position_distribution,weight_distribution,13,high_school_position_distribution:13,"{""generation_position"":""ST"",""weight"":""0.015"",""weight_group"":""hs_position_distribution"",""final_position_required"":""yes"",""notes"":""Generation position. Broad labels must convert before roster import.""}"
high_school_recruits,high_school_scouting_uncertainty.csv,high_school_scouting_uncertainty,runtime_tuning,1,5,"{""star_level"":""5"",""baseline_confidence_min"":""58"",""baseline_confidence_max"":""82"",""current_range_width_min"":""4"",""current_range_width_max"":""10"",""potential_range_width_min"":""5"",""potential_range_width_max"":""12"",""notes"":""Elite prospects are more visible, but still uncertain.""}"
high_school_recruits,high_school_scouting_uncertainty.csv,high_school_scouting_uncertainty,runtime_tuning,2,4,"{""star_level"":""4"",""baseline_confidence_min"":""46"",""baseline_confidence_max"":""74"",""current_range_width_min"":""6"",""current_range_width_max"":""14"",""potential_range_width_min"":""8"",""potential_range_width_max"":""18"",""notes"":""Blue-chip uncertainty.""}"
high_school_recruits,high_school_scouting_uncertainty.csv,high_school_scouting_uncertainty,runtime_tuning,3,3,"{""star_level"":""3"",""baseline_confidence_min"":""32"",""baseline_confidence_max"":""64"",""current_range_width_min"":""8"",""current_range_width_max"":""20"",""potential_range_width_min"":""10"",""potential_range_width_max"":""26"",""notes"":""Wider uncertainty.""}"
high_school_recruits,high_school_scouting_uncertainty.csv,high_school_scouting_uncertainty,runtime_tuning,4,2_or_unranked,"{""star_level"":""2_or_unranked"",""baseline_confidence_min"":""18"",""baseline_confidence_max"":""50"",""current_range_width_min"":""12"",""current_range_width_max"":""30"",""potential_range_width_min"":""14"",""potential_range_width_max"":""36"",""notes"":""Largest uncertainty, especially sleepers.""}"
high_school_recruits,hs_athlete_body_type_archetypes.csv,hs_athlete_body_type_archetypes,runtime_tuning,1,hs_athlete_body_type_archetypes:1,"{""ath_archetype"":""big_skill"",""height_min_in"":""74"",""height_max_in"":""78"",""weight_min_lb"":""205"",""weight_max_lb"":""245"",""speed_min"":""78"",""speed_max"":""94"",""strength_min"":""60"",""strength_max"":""84"",""likely_positions"":""TE|EDGE|LB|WR"",""weight"":""0.18""}"
