domain,source_file,source_table,record_category,source_row,row_key,payload_json
injuries,injury_body_region_position_risk_weights.csv,injury_body_region_position_risk_weights,weight_distribution,1,QB,"{""position"":""QB"",""position_group"":""QB"",""injury_family_id"":""CONCUSSION"",""relative_weight"":""0.10138"",""notes"":""Normalized position-specific injury family mix for generated injury histories.""}"
injuries,injury_body_region_position_risk_weights.csv,injury_body_region_position_risk_weights,weight_distribution,2,QB,"{""position"":""QB"",""position_group"":""QB"",""injury_family_id"":""ACL"",""relative_weight"":""0.04608"",""notes"":""Normalized position-specific injury family mix for generated injury histories.""}"
injuries,injury_body_region_position_risk_weights.csv,injury_body_region_position_risk_weights,weight_distribution,3,QB,"{""position"":""QB"",""position_group"":""QB"",""injury_family_id"":""MCL"",""relative_weight"":""0.06452"",""notes"":""Normalized position-specific injury family mix for generated injury histories.""}"
injuries,injury_body_region_position_risk_weights.csv,injury_body_region_position_risk_weights,weight_distribution,4,QB,"{""position"":""QB"",""position_group"":""QB"",""injury_family_id"":""MENISCUS"",""relative_weight"":""0.03687"",""notes"":""Normalized position-specific injury family mix for generated injury histories.""}"
injuries,injury_body_region_position_risk_weights.csv,injury_body_region_position_risk_weights,weight_distribution,5,QB,"{""position"":""QB"",""position_group"":""QB"",""injury_family_id"":""ACHILLES"",""relative_weight"":""0.02304"",""notes"":""Normalized position-specific injury family mix for generated injury histories.""}"
injuries,injury_body_region_position_risk_weights.csv,injury_body_region_position_risk_weights,weight_distribution,6,QB,"{""position"":""QB"",""position_group"":""QB"",""injury_family_id"":""HAMSTRING"",""relative_weight"":""0.03687"",""notes"":""Normalized position-specific injury family mix for generated injury histories.""}"
injuries,injury_body_region_position_risk_weights.csv,injury_body_region_position_risk_weights,weight_distribution,7,QB,"{""position"":""QB"",""position_group"":""QB"",""injury_family_id"":""GROIN"",""relative_weight"":""0.03226"",""notes"":""Normalized position-specific injury family mix for generated injury histories.""}"
injuries,injury_body_region_position_risk_weights.csv,injury_body_region_position_risk_weights,weight_distribution,8,QB,"{""position"":""QB"",""position_group"":""QB"",""injury_family_id"":""ANKLE"",""relative_weight"":""0.1106"",""notes"":""Normalized position-specific injury family mix for generated injury histories.""}"
injuries,injury_body_region_position_risk_weights.csv,injury_body_region_position_risk_weights,weight_distribution,9,QB,"{""position"":""QB"",""position_group"":""QB"",""injury_family_id"":""HIGH_ANKLE"",""relative_weight"":""0.0553"",""notes"":""Normalized position-specific injury family mix for generated injury histories.""}"
injuries,injury_body_region_position_risk_weights.csv,injury_body_region_position_risk_weights,weight_distribution,10,QB,"{""position"":""QB"",""position_group"":""QB"",""injury_family_id"":""FOOT"",""relative_weight"":""0.03687"",""notes"":""Normalized position-specific injury family mix for generated injury histories.""}"
injuries,injury_body_region_position_risk_weights.csv,injury_body_region_position_risk_weights,weight_distribution,11,QB,"{""position"":""QB"",""position_group"":""QB"",""injury_family_id"":""SHOULDER"",""relative_weight"":""0.1106"",""notes"":""Normalized position-specific injury family mix for generated injury histories.""}"
injuries,injury_body_region_position_risk_weights.csv,injury_body_region_position_risk_weights,weight_distribution,12,QB,"{""position"":""QB"",""position_group"":""QB"",""injury_family_id"":""ELBOW"",""relative_weight"":""0.07373"",""notes"":""Normalized position-specific injury family mix for generated injury histories.""}"
