domain,source_file,source_table,record_category,source_row,row_key,payload_json
nfl_awards,nfl_all_pro_roster_slots.csv,nfl_all_pro_roster_slots,runtime_tuning,1,nfl_all_pro_roster_slots:1,"{""selector_id"":""ap"",""team_type"":""first_team"",""slot_id"":""qb"",""canonical_position"":""QB"",""slot_count"":""1"",""allowed_positions"":""QB"",""notes"":""Game-compatible slot definition. Support slots use role tags because canonical roster does not include LS/KR/PR/ST-only positions.""}"
nfl_awards,nfl_all_pro_roster_slots.csv,nfl_all_pro_roster_slots,runtime_tuning,2,nfl_all_pro_roster_slots:2,"{""selector_id"":""ap"",""team_type"":""first_team"",""slot_id"":""rb"",""canonical_position"":""RB"",""slot_count"":""1"",""allowed_positions"":""RB"",""notes"":""Game-compatible slot definition. Support slots use role tags because canonical roster does not include LS/KR/PR/ST-only positions.""}"
nfl_awards,nfl_all_pro_roster_slots.csv,nfl_all_pro_roster_slots,runtime_tuning,3,nfl_all_pro_roster_slots:3,"{""selector_id"":""ap"",""team_type"":""first_team"",""slot_id"":""wr"",""canonical_position"":""WR"",""slot_count"":""3"",""allowed_positions"":""WR"",""notes"":""Game-compatible slot definition. Support slots use role tags because canonical roster does not include LS/KR/PR/ST-only positions.""}"
nfl_awards,nfl_all_pro_roster_slots.csv,nfl_all_pro_roster_slots,runtime_tuning,4,nfl_all_pro_roster_slots:4,"{""selector_id"":""ap"",""team_type"":""first_team"",""slot_id"":""te"",""canonical_position"":""TE"",""slot_count"":""1"",""allowed_positions"":""TE"",""notes"":""Game-compatible slot definition. Support slots use role tags because canonical roster does not include LS/KR/PR/ST-only positions.""}"
nfl_awards,nfl_all_pro_roster_slots.csv,nfl_all_pro_roster_slots,runtime_tuning,5,nfl_all_pro_roster_slots:5,"{""selector_id"":""ap"",""team_type"":""first_team"",""slot_id"":""lt"",""canonical_position"":""LT"",""slot_count"":""1"",""allowed_positions"":""LT"",""notes"":""Game-compatible slot definition. Support slots use role tags because canonical roster does not include LS/KR/PR/ST-only positions.""}"
nfl_awards,nfl_all_pro_roster_slots.csv,nfl_all_pro_roster_slots,runtime_tuning,6,nfl_all_pro_roster_slots:6,"{""selector_id"":""ap"",""team_type"":""first_team"",""slot_id"":""lg"",""canonical_position"":""LG"",""slot_count"":""1"",""allowed_positions"":""LG"",""notes"":""Game-compatible slot definition. Support slots use role tags because canonical roster does not include LS/KR/PR/ST-only positions.""}"
nfl_awards,nfl_all_pro_roster_slots.csv,nfl_all_pro_roster_slots,runtime_tuning,7,nfl_all_pro_roster_slots:7,"{""selector_id"":""ap"",""team_type"":""first_team"",""slot_id"":""c"",""canonical_position"":""C"",""slot_count"":""1"",""allowed_positions"":""C"",""notes"":""Game-compatible slot definition. Support slots use role tags because canonical roster does not include LS/KR/PR/ST-only positions.""}"
nfl_awards,nfl_all_pro_roster_slots.csv,nfl_all_pro_roster_slots,runtime_tuning,8,nfl_all_pro_roster_slots:8,"{""selector_id"":""ap"",""team_type"":""first_team"",""slot_id"":""rg"",""canonical_position"":""RG"",""slot_count"":""1"",""allowed_positions"":""RG"",""notes"":""Game-compatible slot definition. Support slots use role tags because canonical roster does not include LS/KR/PR/ST-only positions.""}"
nfl_awards,nfl_all_pro_roster_slots.csv,nfl_all_pro_roster_slots,runtime_tuning,9,nfl_all_pro_roster_slots:9,"{""selector_id"":""ap"",""team_type"":""first_team"",""slot_id"":""rt"",""canonical_position"":""RT"",""slot_count"":""1"",""allowed_positions"":""RT"",""notes"":""Game-compatible slot definition. Support slots use role tags because canonical roster does not include LS/KR/PR/ST-only positions.""}"
nfl_awards,nfl_all_pro_roster_slots.csv,nfl_all_pro_roster_slots,runtime_tuning,10,nfl_all_pro_roster_slots:10,"{""selector_id"":""ap"",""team_type"":""first_team"",""slot_id"":""all_purpose"",""canonical_position"":""SUPPORT"",""slot_count"":""1"",""allowed_positions"":""RB|WR|TE|ATH_SUPPORT"",""notes"":""Game-compatible slot definition. Support slots use role tags because canonical roster does not include LS/KR/PR/ST-only positions.""}"
