domain,source_file,source_table,record_category,source_row,row_key,payload_json
nfl_free_agents,nfl_free_agent_age_experience_by_role.csv,nfl_free_agent_age_experience_by_role,runtime_tuning,1,QB,"{""position_group"":""QB"",""role_tier"":""impact_starter"",""age_bucket"":""prime"",""age_min"":""28"",""age_max"":""29"",""experience_min"":""6"",""experience_max"":""8"",""weight"":""2"",""notes"":""Weights normalize after filtering eligible bucket rows.""}"
nfl_free_agents,nfl_free_agent_age_experience_by_role.csv,nfl_free_agent_age_experience_by_role,runtime_tuning,2,QB,"{""position_group"":""QB"",""role_tier"":""impact_starter"",""age_bucket"":""late_prime"",""age_min"":""30"",""age_max"":""32"",""experience_min"":""7"",""experience_max"":""10"",""weight"":""3"",""notes"":""Weights normalize after filtering eligible bucket rows.""}"
nfl_free_agents,nfl_free_agent_age_experience_by_role.csv,nfl_free_agent_age_experience_by_role,runtime_tuning,3,QB,"{""position_group"":""QB"",""role_tier"":""impact_starter"",""age_bucket"":""older"",""age_min"":""33"",""age_max"":""35"",""experience_min"":""8"",""experience_max"":""11"",""weight"":""3"",""notes"":""Weights normalize after filtering eligible bucket rows.""}"
nfl_free_agents,nfl_free_agent_age_experience_by_role.csv,nfl_free_agent_age_experience_by_role,runtime_tuning,4,QB,"{""position_group"":""QB"",""role_tier"":""low_starter"",""age_bucket"":""prime"",""age_min"":""27"",""age_max"":""29"",""experience_min"":""5"",""experience_max"":""8"",""weight"":""3"",""notes"":""Weights normalize after filtering eligible bucket rows.""}"
nfl_free_agents,nfl_free_agent_age_experience_by_role.csv,nfl_free_agent_age_experience_by_role,runtime_tuning,5,QB,"{""position_group"":""QB"",""role_tier"":""low_starter"",""age_bucket"":""late_prime"",""age_min"":""30"",""age_max"":""32"",""experience_min"":""6"",""experience_max"":""9"",""weight"":""3"",""notes"":""Weights normalize after filtering eligible bucket rows.""}"
nfl_free_agents,nfl_free_agent_age_experience_by_role.csv,nfl_free_agent_age_experience_by_role,runtime_tuning,6,QB,"{""position_group"":""QB"",""role_tier"":""low_starter"",""age_bucket"":""older"",""age_min"":""33"",""age_max"":""34"",""experience_min"":""8"",""experience_max"":""10"",""weight"":""2"",""notes"":""Weights normalize after filtering eligible bucket rows.""}"
nfl_free_agents,nfl_free_agent_age_experience_by_role.csv,nfl_free_agent_age_experience_by_role,runtime_tuning,7,QB,"{""position_group"":""QB"",""role_tier"":""high_backup"",""age_bucket"":""prime"",""age_min"":""25"",""age_max"":""29"",""experience_min"":""2"",""experience_max"":""7"",""weight"":""5"",""notes"":""Weights normalize after filtering eligible bucket rows.""}"
nfl_free_agents,nfl_free_agent_age_experience_by_role.csv,nfl_free_agent_age_experience_by_role,runtime_tuning,8,QB,"{""position_group"":""QB"",""role_tier"":""high_backup"",""age_bucket"":""late_prime"",""age_min"":""30"",""age_max"":""32"",""experience_min"":""4"",""experience_max"":""8"",""weight"":""3"",""notes"":""Weights normalize after filtering eligible bucket rows.""}"
nfl_free_agents,nfl_free_agent_age_experience_by_role.csv,nfl_free_agent_age_experience_by_role,runtime_tuning,9,QB,"{""position_group"":""QB"",""role_tier"":""veteran_depth"",""age_bucket"":""prime"",""age_min"":""27"",""age_max"":""29"",""experience_min"":""4"",""experience_max"":""8"",""weight"":""3"",""notes"":""Weights normalize after filtering eligible bucket rows.""}"
nfl_free_agents,nfl_free_agent_age_experience_by_role.csv,nfl_free_agent_age_experience_by_role,runtime_tuning,10,QB,"{""position_group"":""QB"",""role_tier"":""veteran_depth"",""age_bucket"":""late_prime"",""age_min"":""30"",""age_max"":""32"",""experience_min"":""5"",""experience_max"":""10"",""weight"":""3"",""notes"":""Weights normalize after filtering eligible bucket rows.""}"
