domain,source_file,source_table,record_category,source_row,row_key,payload_json
nfl_rosters,initial_nfl_age_experience_distribution.csv,initial_nfl_age_experience_distribution,weight_distribution,1,QB,"{""pool"":""active_roster"",""position_group"":""QB"",""age_band"":""young_backup"",""age_min"":""22"",""age_max"":""26"",""weight"":""0.22"",""weight_group"":""active_roster_QB_age"",""notes"":""Normalize by pool and position_group.""}"
nfl_rosters,initial_nfl_age_experience_distribution.csv,initial_nfl_age_experience_distribution,weight_distribution,2,QB,"{""pool"":""active_roster"",""position_group"":""QB"",""age_band"":""prime"",""age_min"":""26"",""age_max"":""31"",""weight"":""0.38"",""weight_group"":""active_roster_QB_age"",""notes"":""Normalize by pool and position_group.""}"
nfl_rosters,initial_nfl_age_experience_distribution.csv,initial_nfl_age_experience_distribution,weight_distribution,3,QB,"{""pool"":""active_roster"",""position_group"":""QB"",""age_band"":""veteran"",""age_min"":""31"",""age_max"":""36"",""weight"":""0.3"",""weight_group"":""active_roster_QB_age"",""notes"":""Normalize by pool and position_group.""}"
nfl_rosters,initial_nfl_age_experience_distribution.csv,initial_nfl_age_experience_distribution,weight_distribution,4,QB,"{""pool"":""active_roster"",""position_group"":""QB"",""age_band"":""older"",""age_min"":""36"",""age_max"":""40"",""weight"":""0.1"",""weight_group"":""active_roster_QB_age"",""notes"":""Normalize by pool and position_group.""}"
nfl_rosters,initial_nfl_age_experience_distribution.csv,initial_nfl_age_experience_distribution,weight_distribution,5,Skill,"{""pool"":""active_roster"",""position_group"":""Skill"",""age_band"":""rookie_contract"",""age_min"":""21"",""age_max"":""25"",""weight"":""0.36"",""weight_group"":""active_roster_Skill_age"",""notes"":""Normalize by pool and position_group.""}"
nfl_rosters,initial_nfl_age_experience_distribution.csv,initial_nfl_age_experience_distribution,weight_distribution,6,Skill,"{""pool"":""active_roster"",""position_group"":""Skill"",""age_band"":""prime"",""age_min"":""24"",""age_max"":""28"",""weight"":""0.42"",""weight_group"":""active_roster_Skill_age"",""notes"":""Normalize by pool and position_group.""}"
nfl_rosters,initial_nfl_age_experience_distribution.csv,initial_nfl_age_experience_distribution,weight_distribution,7,Skill,"{""pool"":""active_roster"",""position_group"":""Skill"",""age_band"":""late_prime"",""age_min"":""28"",""age_max"":""31"",""weight"":""0.16"",""weight_group"":""active_roster_Skill_age"",""notes"":""Normalize by pool and position_group.""}"
nfl_rosters,initial_nfl_age_experience_distribution.csv,initial_nfl_age_experience_distribution,weight_distribution,8,Skill,"{""pool"":""active_roster"",""position_group"":""Skill"",""age_band"":""older"",""age_min"":""31"",""age_max"":""34"",""weight"":""0.06"",""weight_group"":""active_roster_Skill_age"",""notes"":""Normalize by pool and position_group.""}"
nfl_rosters,initial_nfl_age_experience_distribution.csv,initial_nfl_age_experience_distribution,weight_distribution,9,OL,"{""pool"":""active_roster"",""position_group"":""OL"",""age_band"":""rookie_contract"",""age_min"":""21"",""age_max"":""25"",""weight"":""0.3"",""weight_group"":""active_roster_OL_age"",""notes"":""Normalize by pool and position_group.""}"
nfl_rosters,initial_nfl_age_experience_distribution.csv,initial_nfl_age_experience_distribution,weight_distribution,10,OL,"{""pool"":""active_roster"",""position_group"":""OL"",""age_band"":""prime"",""age_min"":""25"",""age_max"":""30"",""weight"":""0.42"",""weight_group"":""active_roster_OL_age"",""notes"":""Normalize by pool and position_group.""}"
nfl_rosters,initial_nfl_age_experience_distribution.csv,initial_nfl_age_experience_distribution,weight_distribution,11,OL,"{""pool"":""active_roster"",""position_group"":""OL"",""age_band"":""late_prime"",""age_min"":""30"",""age_max"":""33"",""weight"":""0.2"",""weight_group"":""active_roster_OL_age"",""notes"":""Normalize by pool and position_group.""}"
nfl_rosters,initial_nfl_age_experience_distribution.csv,initial_nfl_age_experience_distribution,weight_distribution,12,OL,"{""pool"":""active_roster"",""position_group"":""OL"",""age_band"":""older"",""age_min"":""33"",""age_max"":""37"",""weight"":""0.08"",""weight_group"":""active_roster_OL_age"",""notes"":""Normalize by pool and position_group.""}"
nfl_rosters,initial_nfl_age_experience_distribution.csv,initial_nfl_age_experience_distribution,weight_distribution,13,Front7,"{""pool"":""active_roster"",""position_group"":""Front7"",""age_band"":""rookie_contract"",""age_min"":""21"",""age_max"":""25"",""weight"":""0.3"",""weight_group"":""active_roster_Front7_age"",""notes"":""Normalize by pool and position_group.""}"
nfl_rosters,initial_nfl_age_experience_distribution.csv,initial_nfl_age_experience_distribution,weight_distribution,14,Front7,"{""pool"":""active_roster"",""position_group"":""Front7"",""age_band"":""prime"",""age_min"":""25"",""age_max"":""30"",""weight"":""0.42"",""weight_group"":""active_roster_Front7_age"",""notes"":""Normalize by pool and position_group.""}"
nfl_rosters,initial_nfl_age_experience_distribution.csv,initial_nfl_age_experience_distribution,weight_distribution,15,Front7,"{""pool"":""active_roster"",""position_group"":""Front7"",""age_band"":""late_prime"",""age_min"":""30"",""age_max"":""33"",""weight"":""0.2"",""weight_group"":""active_roster_Front7_age"",""notes"":""Normalize by pool and position_group.""}"
nfl_rosters,initial_nfl_age_experience_distribution.csv,initial_nfl_age_experience_distribution,weight_distribution,16,Front7,"{""pool"":""active_roster"",""position_group"":""Front7"",""age_band"":""older"",""age_min"":""33"",""age_max"":""37"",""weight"":""0.08"",""weight_group"":""active_roster_Front7_age"",""notes"":""Normalize by pool and position_group.""}"
