domain,source_file,source_table,record_category,source_row,row_key,payload_json
scouting,evaluator_scouting_bias_profiles.csv,evaluator_scouting_bias_profiles,runtime_tuning,1,evaluator_scouting_bias_profiles:1,"{""bias_profile"":""balanced"",""athleticism_bias"":""0"",""production_bias"":""0"",""upside_bias"":""0"",""medical_risk_bias"":""0"",""small_school_bias"":""0"",""position_value_bias"":""0"",""notes"":""Neutral view.""}"
scouting,evaluator_scouting_bias_profiles.csv,evaluator_scouting_bias_profiles,runtime_tuning,2,evaluator_scouting_bias_profiles:2,"{""bias_profile"":""resource_rich"",""athleticism_bias"":""1"",""production_bias"":""1"",""upside_bias"":""1"",""medical_risk_bias"":""-1"",""small_school_bias"":""0"",""position_value_bias"":""1"",""notes"":""Well-resourced team sees more complete picture.""}"
scouting,evaluator_scouting_bias_profiles.csv,evaluator_scouting_bias_profiles,runtime_tuning,3,evaluator_scouting_bias_profiles:3,"{""bias_profile"":""limited_resources"",""athleticism_bias"":""2"",""production_bias"":""-1"",""upside_bias"":""-1"",""medical_risk_bias"":""2"",""small_school_bias"":""-2"",""position_value_bias"":""0"",""notes"":""Overweights obvious athletic traits.""}"
scouting,evaluator_scouting_bias_profiles.csv,evaluator_scouting_bias_profiles,runtime_tuning,4,evaluator_scouting_bias_profiles:4,"{""bias_profile"":""region_familiarity"",""athleticism_bias"":""0"",""production_bias"":""2"",""upside_bias"":""1"",""medical_risk_bias"":""-1"",""small_school_bias"":""1"",""position_value_bias"":""0"",""notes"":""Better local knowledge.""}"
scouting,evaluator_scouting_bias_profiles.csv,evaluator_scouting_bias_profiles,runtime_tuning,5,evaluator_scouting_bias_profiles:5,"{""bias_profile"":""pro_projection"",""athleticism_bias"":""1"",""production_bias"":""0"",""upside_bias"":""2"",""medical_risk_bias"":""1"",""small_school_bias"":""-1"",""position_value_bias"":""2"",""notes"":""NFL upside/projection lens.""}"
scouting,evaluator_scouting_bias_profiles.csv,evaluator_scouting_bias_profiles,runtime_tuning,6,evaluator_scouting_bias_profiles:6,"{""bias_profile"":""noisy_projection"",""athleticism_bias"":""2"",""production_bias"":""1"",""upside_bias"":""2"",""medical_risk_bias"":""2"",""small_school_bias"":""-2"",""position_value_bias"":""1"",""notes"":""High variance scouting.""}"
scouting,evaluator_scouting_bias_profiles.csv,evaluator_scouting_bias_profiles,runtime_tuning,7,evaluator_scouting_bias_profiles:7,"{""bias_profile"":""position_expertise"",""athleticism_bias"":""0"",""production_bias"":""1"",""upside_bias"":""1"",""medical_risk_bias"":""-1"",""small_school_bias"":""0"",""position_value_bias"":""2"",""notes"":""Specialist sees role fit better.""}"
scouting,evaluator_scouting_bias_profiles.csv,evaluator_scouting_bias_profiles,runtime_tuning,8,evaluator_scouting_bias_profiles:8,"{""bias_profile"":""small_school_uncertainty"",""athleticism_bias"":""1"",""production_bias"":""-2"",""upside_bias"":""1"",""medical_risk_bias"":""1"",""small_school_bias"":""-3"",""position_value_bias"":""0"",""notes"":""Competition translation uncertainty.""}"
scouting,scouting_base_uncertainty_by_pool_position_group.csv,scouting_base_uncertainty_by_pool_position_group,runtime_tuning,1,QB,"{""pool_id"":""hs_recruit"",""position_group"":""QB"",""current_half_width_min"":""10.0"",""current_half_width_max"":""18.0"",""potential_half_width_min"":""16.0"",""potential_half_width_max"":""26.0"",""medical_uncertainty_base"":""high"",""work_ethic_uncertainty_base"":""high"",""default_confidence"":""38"",""notes"":""Half-width means plus/minus around internal estimate before source and staff modifiers.""}"
scouting,scouting_base_uncertainty_by_pool_position_group.csv,scouting_base_uncertainty_by_pool_position_group,runtime_tuning,2,RB,"{""pool_id"":""hs_recruit"",""position_group"":""RB"",""current_half_width_min"":""8.0"",""current_half_width_max"":""14.0"",""potential_half_width_min"":""12.0"",""potential_half_width_max"":""20.0"",""medical_uncertainty_base"":""high"",""work_ethic_uncertainty_base"":""high"",""default_confidence"":""38"",""notes"":""Half-width means plus/minus around internal estimate before source and staff modifiers.""}"
scouting,scouting_base_uncertainty_by_pool_position_group.csv,scouting_base_uncertainty_by_pool_position_group,runtime_tuning,3,WR,"{""pool_id"":""hs_recruit"",""position_group"":""WR"",""current_half_width_min"":""9.0"",""current_half_width_max"":""16.0"",""potential_half_width_min"":""14.0"",""potential_half_width_max"":""24.0"",""medical_uncertainty_base"":""high"",""work_ethic_uncertainty_base"":""high"",""default_confidence"":""38"",""notes"":""Half-width means plus/minus around internal estimate before source and staff modifiers.""}"
scouting,scouting_base_uncertainty_by_pool_position_group.csv,scouting_base_uncertainty_by_pool_position_group,runtime_tuning,4,TE,"{""pool_id"":""hs_recruit"",""position_group"":""TE"",""current_half_width_min"":""10.0"",""current_half_width_max"":""17.0"",""potential_half_width_min"":""15.0"",""potential_half_width_max"":""26.0"",""medical_uncertainty_base"":""high"",""work_ethic_uncertainty_base"":""high"",""default_confidence"":""38"",""notes"":""Half-width means plus/minus around internal estimate before source and staff modifiers.""}"
scouting,scouting_base_uncertainty_by_pool_position_group.csv,scouting_base_uncertainty_by_pool_position_group,runtime_tuning,5,OL,"{""pool_id"":""hs_recruit"",""position_group"":""OL"",""current_half_width_min"":""9.0"",""current_half_width_max"":""16.0"",""potential_half_width_min"":""14.0"",""potential_half_width_max"":""23.0"",""medical_uncertainty_base"":""high"",""work_ethic_uncertainty_base"":""high"",""default_confidence"":""38"",""notes"":""Half-width means plus/minus around internal estimate before source and staff modifiers.""}"
scouting,scouting_base_uncertainty_by_pool_position_group.csv,scouting_base_uncertainty_by_pool_position_group,runtime_tuning,6,EDGE,"{""pool_id"":""hs_recruit"",""position_group"":""EDGE"",""current_half_width_min"":""9.0"",""current_half_width_max"":""16.0"",""potential_half_width_min"":""14.0"",""potential_half_width_max"":""24.0"",""medical_uncertainty_base"":""high"",""work_ethic_uncertainty_base"":""high"",""default_confidence"":""38"",""notes"":""Half-width means plus/minus around internal estimate before source and staff modifiers.""}"
scouting,scouting_base_uncertainty_by_pool_position_group.csv,scouting_base_uncertainty_by_pool_position_group,runtime_tuning,7,DL,"{""pool_id"":""hs_recruit"",""position_group"":""DL"",""current_half_width_min"":""9.0"",""current_half_width_max"":""16.0"",""potential_half_width_min"":""14.0"",""potential_half_width_max"":""23.0"",""medical_uncertainty_base"":""high"",""work_ethic_uncertainty_base"":""high"",""default_confidence"":""38"",""notes"":""Half-width means plus/minus around internal estimate before source and staff modifiers.""}"
scouting,scouting_base_uncertainty_by_pool_position_group.csv,scouting_base_uncertainty_by_pool_position_group,runtime_tuning,8,LB,"{""pool_id"":""hs_recruit"",""position_group"":""LB"",""current_half_width_min"":""9.0"",""current_half_width_max"":""16.0"",""potential_half_width_min"":""13.0"",""potential_half_width_max"":""23.0"",""medical_uncertainty_base"":""high"",""work_ethic_uncertainty_base"":""high"",""default_confidence"":""38"",""notes"":""Half-width means plus/minus around internal estimate before source and staff modifiers.""}"
scouting,scouting_base_uncertainty_by_pool_position_group.csv,scouting_base_uncertainty_by_pool_position_group,runtime_tuning,9,CB,"{""pool_id"":""hs_recruit"",""position_group"":""CB"",""current_half_width_min"":""10.0"",""current_half_width_max"":""17.0"",""potential_half_width_min"":""14.0"",""potential_half_width_max"":""24.0"",""medical_uncertainty_base"":""high"",""work_ethic_uncertainty_base"":""high"",""default_confidence"":""38"",""notes"":""Half-width means plus/minus around internal estimate before source and staff modifiers.""}"
scouting,scouting_base_uncertainty_by_pool_position_group.csv,scouting_base_uncertainty_by_pool_position_group,runtime_tuning,10,S,"{""pool_id"":""hs_recruit"",""position_group"":""S"",""current_half_width_min"":""9.0"",""current_half_width_max"":""16.0"",""potential_half_width_min"":""13.0"",""potential_half_width_max"":""23.0"",""medical_uncertainty_base"":""high"",""work_ethic_uncertainty_base"":""high"",""default_confidence"":""38"",""notes"":""Half-width means plus/minus around internal estimate before source and staff modifiers.""}"
scouting,scouting_base_uncertainty_by_pool_position_group.csv,scouting_base_uncertainty_by_pool_position_group,runtime_tuning,11,K_P,"{""pool_id"":""hs_recruit"",""position_group"":""K_P"",""current_half_width_min"":""8.0"",""current_half_width_max"":""14.0"",""potential_half_width_min"":""12.0"",""potential_half_width_max"":""22.0"",""medical_uncertainty_base"":""high"",""work_ethic_uncertainty_base"":""high"",""default_confidence"":""38"",""notes"":""Half-width means plus/minus around internal estimate before source and staff modifiers.""}"
