domain,source_file,records,category
college_awards,college_award_class_role_modifiers.csv,5,modifier
college_awards,college_award_eligibility_rules.csv,11,rule
college_awards,college_award_generation_examples.csv,5,example
college_awards,college_award_history_generation_algorithm.csv,11,algorithm
college_awards,college_award_history_generation_rules.csv,12,rule
college_awards,college_award_history_weights.csv,9,weight_distribution
college_awards,college_award_production_thresholds.csv,13,runtime_tuning
college_awards,college_award_program_context_modifiers.csv,8,modifier
college_awards,college_award_rarity_balance_targets.csv,15,validation_target
college_awards,college_award_selection_weights.csv,21,weight_distribution
college_awards,college_award_taxonomy.csv,34,definition
college_awards,college_award_to_draft_signal_weights.csv,8,weight_distribution
college_awards,college_awards_research_basis.csv,5,research_basis
college_production,college_ol_history_proxy_metrics.csv,70,runtime_tuning
college_production,college_production_award_thresholds.csv,18,runtime_tuning
college_production,college_production_career_arc_templates.csv,72,runtime_tuning
college_production,college_production_competition_modifiers.csv,7,modifier
college_production,college_production_defensive_stat_ranges.csv,300,runtime_tuning
college_production,college_production_efficiency_ranges.csv,90,runtime_tuning
college_production,college_production_history_balance_targets.csv,8,validation_target
college_production,college_production_history_debug_export_schema.csv,10,debug_schema
college_production,college_production_history_examples.csv,8,example
college_production,college_production_history_generation_algorithm.csv,12,algorithm
college_production,college_production_history_targets.csv,12,target
college_production,college_production_injury_absence_rules.csv,5,rule
college_production,college_production_offensive_stat_ranges.csv,243,runtime_tuning
college_production,college_production_redshirt_participation_rules.csv,4,rule
college_production,college_production_research_basis.csv,5,research_basis
college_production,college_production_role_tiers.csv,10,runtime_tuning
college_production,college_production_role_weights_by_class_position.csv,960,weight_distribution
college_production,college_production_scheme_modifiers.csv,8,modifier
college_production,college_production_specialist_stat_ranges.csv,90,runtime_tuning
college_production,college_production_stat_categories.csv,40,runtime_tuning
college_production,college_production_stat_consistency_rules.csv,9,rule
college_production,college_production_team_context_modifiers.csv,5,modifier
college_production,college_production_to_draft_signal_weights.csv,66,weight_distribution
college_production,college_production_year_class_modifiers.csv,8,modifier
college_production,college_team_defense_profile_production_rules.csv,5,rule
college_production,college_team_offense_profile_production_rules.csv,6,rule
college_rosters,college_class_distribution_research_basis.csv,5,research_basis
college_rosters,college_development_backfill_curve.csv,180,runtime_tuning
college_rosters,college_injury_history_weights.csv,16,weight_distribution
college_rosters,college_position_bootstrap_conversion_rules.csv,14,rule
college_rosters,college_position_depth_chart_validation_rules.csv,16,rule
college_rosters,college_position_distribution_research_basis.csv,7,research_basis
college_rosters,college_position_group_mapping.csv,16,runtime_tuning
college_rosters,college_position_recruiting_tendency_rules.csv,11,rule
college_rosters,college_specialist_support_role_rules.csv,6,rule
college_rosters,initial_college_class_balance_targets.csv,10,validation_target
college_rosters,initial_college_class_distribution.csv,8,weight_distribution
college_rosters,initial_college_class_distribution_by_position_group.csv,10,weight_distribution
college_rosters,initial_college_class_distribution_examples.csv,4,example
college_rosters,initial_college_class_generation_algorithm.csv,10,algorithm
college_rosters,initial_college_class_repair_rules.csv,6,rule
college_rosters,initial_college_eligibility_status_rules.csv,10,rule
college_rosters,initial_college_experience_modifiers.csv,8,modifier
college_rosters,initial_college_position_balance_targets.csv,10,validation_target
college_rosters,initial_college_position_distribution_examples.csv,8,example
college_rosters,initial_college_position_distribution_profiles.csv,8,weight_distribution
college_rosters,initial_college_position_generation_algorithm.csv,12,algorithm
college_rosters,initial_college_position_min_max_bounds.csv,16,runtime_tuning
college_rosters,initial_college_position_profile_weights_by_program.csv,66,weight_distribution
college_rosters,initial_college_position_scheme_modifiers.csv,24,modifier
college_rosters,initial_college_position_targets.csv,16,target
college_rosters,initial_college_position_targets_by_profile.csv,128,target
college_rosters,initial_college_position_walkon_fill_rules.csv,11,rule
college_rosters,initial_college_program_strength_ranges.csv,10,runtime_tuning
college_rosters,initial_college_redshirt_usage_by_program.csv,8,runtime_tuning
college_rosters,initial_college_role_distribution.csv,70,weight_distribution
college_rosters,initial_college_roster_quality_by_program.csv,70,runtime_tuning
college_rosters,initial_college_roster_source_mix_by_class.csv,50,weight_distribution
college_rosters,initial_college_roster_targets.csv,4,target
draft_translation,college_to_nfl_position_translation_profiles.csv,11,runtime_tuning
draft_translation,college_to_nfl_rating_translation.csv,968,runtime_tuning
draft_translation,college_to_nfl_translation_examples.csv,6,example
draft_translation,college_to_nfl_translation_modifiers.csv,26,modifier
draft_translation,draft_class_eligibility_rules.csv,5,rule
draft_translation,draft_class_selection_weights.csv,10,weight_distribution
draft_translation,draft_tier_rookie_rating_anchors.csv,11,runtime_tuning
draft_translation,initial_draft_class_targets.csv,9,target
draft_translation,player_rating_scale_model.csv,15,runtime_tuning
high_school_recruits,high_school_position_distribution.csv,13,weight_distribution
high_school_recruits,high_school_scouting_uncertainty.csv,4,runtime_tuning
high_school_recruits,hs_athlete_body_type_archetypes.csv,7,runtime_tuning
high_school_recruits,hs_athlete_conversion_projection_weights.csv,40,weight_distribution
high_school_recruits,hs_broad_position_conversion_to_college.csv,10,runtime_tuning
high_school_recruits,hs_position_balance_targets.csv,11,validation_target
high_school_recruits,hs_position_distribution_examples.csv,4,example
high_school_recruits,hs_position_dual_sport_dual_role_tags.csv,10,runtime_tuning
high_school_recruits,hs_position_generation_algorithm.csv,11,algorithm
high_school_recruits,hs_position_rating_archetype_weights.csv,70,weight_distribution
high_school_recruits,hs_position_research_basis.csv,6,research_basis
high_school_recruits,hs_position_scarcity_value_modifiers.csv,15,modifier
high_school_recruits,hs_position_size_profile_rules.csv,15,rule
high_school_recruits,hs_recruit_generation_position_distribution.csv,15,weight_distribution
high_school_recruits,hs_recruit_position_count_anchors_247_2026.csv,17,runtime_tuning
high_school_recruits,hs_recruit_position_distribution_by_region_style.csv,105,weight_distribution
high_school_recruits,hs_recruit_position_distribution_by_star_band.csv,90,weight_distribution
high_school_recruits,hs_recruit_position_scheme_tendency_modifiers.csv,56,modifier
high_school_recruits,hs_specialist_generation_rules.csv,4,rule
high_school_recruits,initial_high_school_recruit_class_targets.csv,3,target
high_school_recruits,recruit_bust_reason_weights.csv,6,weight_distribution
high_school_recruits,recruit_sleeper_reason_weights.csv,7,weight_distribution
high_school_recruits,recruit_star_band_definitions.csv,8,definition
high_school_recruits,star_distribution.csv,3,weight_distribution
high_school_recruits,star_outcome_balance_targets.csv,8,validation_target
high_school_recruits,star_outcome_generation_examples.csv,5,example
high_school_recruits,star_outcome_position_modifiers.csv,12,modifier
high_school_recruits,star_outcome_program_context_modifiers.csv,8,modifier
high_school_recruits,star_outcome_weights.csv,44,weight_distribution
high_school_recruits,star_scouting_visibility_rules.csv,40,rule
high_school_recruits,star_to_college_development_path_weights.csv,56,weight_distribution
high_school_recruits,star_to_nfl_entry_outcome_weights.csv,56,weight_distribution
high_school_recruits,star_visible_rank_band_weights.csv,25,weight_distribution
high_school_recruits,team_specific_scouting_uncertainty.csv,10,runtime_tuning
injuries,injury_body_region_position_risk_weights.csv,288,weight_distribution
injuries,injury_contract_market_impact_rules.csv,4,rule
injuries,injury_development_impact_rules.csv,8,rule
injuries,injury_draft_medical_flag_rules.csv,72,rule
injuries,injury_family_taxonomy.csv,18,definition
injuries,injury_history_balance_targets.csv,10,validation_target
